gene_id,ptu
LMJLV39_000005000,LMJLV39_SCAF000002_PTU01
LMJLV39_000005100,LMJLV39_SCAF000056_PTU01
LMJLV39_000005200,LMJLV39_SCAF000187_PTU01
LMJLV39_000005300,LMJLV39_SCAF000198_PTU01
LMJLV39_000005400,LMJLV39_SCAF000198_PTU01
LMJLV39_000005500,LMJLV39_SCAF000206_PTU01
LMJLV39_000005600,LMJLV39_SCAF000220_PTU01
LMJLV39_000005700,LMJLV39_SCAF000228_PTU01
LMJLV39_000005800,LMJLV39_SCAF000235_PTU01
LMJLV39_000005900,LMJLV39_SCAF000236_PTU01
LMJLV39_000006000,LMJLV39_SCAF000237_PTU01
LMJLV39_000006100,LMJLV39_SCAF000238_PTU01
LMJLV39_000006200,LMJLV39_SCAF000255_PTU01
LMJLV39_000006300,LMJLV39_SCAF000279_PTU01
LMJLV39_000006400,LMJLV39_SCAF000285_PTU01
LMJLV39_000006500,LMJLV39_SCAF000286_PTU01
LMJLV39_000006600,LMJLV39_SCAF000297_PTU01
LMJLV39_000006700,LMJLV39_SCAF000308_PTU01
LMJLV39_000006800,LMJLV39_SCAF000309_PTU01
LMJLV39_000006900,LMJLV39_SCAF000313_PTU01
LMJLV39_000007000,LMJLV39_SCAF000316_PTU01
LMJLV39_000007100,LMJLV39_SCAF000321_PTU01
LMJLV39_000007200,LMJLV39_SCAF000326_PTU01
LMJLV39_000007300,LMJLV39_SCAF000326_PTU01
LMJLV39_000007400,LMJLV39_SCAF000328_PTU01
LMJLV39_000007500,LMJLV39_SCAF000348_PTU01
LMJLV39_000007600,LMJLV39_SCAF000365_PTU01
LMJLV39_000007700,LMJLV39_SCAF000377_PTU01
LMJLV39_000007800,LMJLV39_SCAF000379_PTU01
LMJLV39_000007900,LMJLV39_SCAF000380_PTU01
LMJLV39_000008000,LMJLV39_SCAF000382_PTU01
LMJLV39_000008100,LMJLV39_SCAF000388_PTU01
LMJLV39_000008200,LMJLV39_SCAF000388_PTU01
LMJLV39_000008300,LMJLV39_SCAF000390_PTU01
LMJLV39_000008400,LMJLV39_SCAF000391_PTU01
LMJLV39_000008500,LMJLV39_SCAF000392_PTU01
LMJLV39_000008600,LMJLV39_SCAF000393_PTU01
LMJLV39_000008700,LMJLV39_SCAF000395_PTU01
LMJLV39_000008800,LMJLV39_SCAF000397_PTU01
LMJLV39_000008900,LMJLV39_SCAF000398_PTU01
LMJLV39_000009000,LMJLV39_SCAF000399_PTU01
LMJLV39_000009100,LMJLV39_SCAF000403_PTU01
LMJLV39_000009200,LMJLV39_SCAF000406_PTU01
LMJLV39_000009300,LMJLV39_SCAF000407_PTU01
LMJLV39_000009400,LMJLV39_SCAF000414_PTU01
LMJLV39_000009500,LMJLV39_SCAF000415_PTU01
LMJLV39_000009600,LMJLV39_SCAF000416_PTU01
LMJLV39_000009700,LMJLV39_SCAF000418_PTU01
LMJLV39_000009800,LMJLV39_SCAF000420_PTU01
LMJLV39_000009900,LMJLV39_SCAF000426_PTU01
LMJLV39_000010000,LMJLV39_SCAF000427_PTU01
LMJLV39_000010100,LMJLV39_SCAF000442_PTU01
LMJLV39_000010200,LMJLV39_SCAF000455_PTU01
LMJLV39_000010300,LMJLV39_SCAF000456_PTU01
LMJLV39_000010400,LMJLV39_SCAF000458_PTU01
LMJLV39_000010500,LMJLV39_SCAF000459_PTU01
LMJLV39_000010600,LMJLV39_SCAF000462_PTU01
LMJLV39_000010700,LMJLV39_SCAF000464_PTU01
LMJLV39_000010800,LMJLV39_SCAF000465_PTU01
LMJLV39_000010900,LMJLV39_SCAF000471_PTU01
LMJLV39_000011000,LMJLV39_SCAF000472_PTU01
LMJLV39_000011100,LMJLV39_SCAF000479_PTU01
LMJLV39_000011200,LMJLV39_SCAF000480_PTU01
LMJLV39_000011300,LMJLV39_SCAF000483_PTU01
LMJLV39_000011400,LMJLV39_SCAF000484_PTU01
LMJLV39_000011500,LMJLV39_SCAF000485_PTU01
LMJLV39_000011600,LMJLV39_SCAF000494_PTU01
LMJLV39_000011700,LMJLV39_SCAF000497_PTU01
LMJLV39_000011800,LMJLV39_SCAF000502_PTU01
LMJLV39_000011900,LMJLV39_SCAF000503_PTU01
LMJLV39_000012000,LMJLV39_SCAF000513_PTU01
LMJLV39_000012100,LMJLV39_SCAF000523_PTU01
LMJLV39_000012200,LMJLV39_SCAF000534_PTU01
LMJLV39_000012300,LMJLV39_SCAF000535_PTU01
LMJLV39_000012400,LMJLV39_SCAF000541_PTU01
LMJLV39_000012500,LMJLV39_SCAF000542_PTU01
LMJLV39_000012600,LMJLV39_SCAF000543_PTU01
LMJLV39_000012700,LMJLV39_SCAF000544_PTU01
LMJLV39_000012800,LMJLV39_SCAF000544_PTU01
LMJLV39_000012900,LMJLV39_SCAF000544_PTU02
LMJLV39_000013000,LMJLV39_SCAF000544_PTU02
LMJLV39_000013100,LMJLV39_SCAF000546_PTU01
LMJLV39_000013200,LMJLV39_SCAF000547_PTU01
LMJLV39_000013300,LMJLV39_SCAF000549_PTU01
LMJLV39_000013400,LMJLV39_SCAF000550_PTU01
LMJLV39_000013500,LMJLV39_SCAF000551_PTU01
LMJLV39_000013600,LMJLV39_SCAF000552_PTU01
LMJLV39_000013700,LMJLV39_SCAF000553_PTU01
LMJLV39_000013800,LMJLV39_SCAF000557_PTU01
LMJLV39_000013900,LMJLV39_SCAF000558_PTU01
LMJLV39_000014000,LMJLV39_SCAF000559_PTU01
LMJLV39_000014100,LMJLV39_SCAF000560_PTU01
LMJLV39_000014200,LMJLV39_SCAF000561_PTU01
LMJLV39_000014300,LMJLV39_SCAF000563_PTU01
LMJLV39_000014400,LMJLV39_SCAF000564_PTU01
LMJLV39_000014500,LMJLV39_SCAF000566_PTU01
LMJLV39_000014600,LMJLV39_SCAF000568_PTU01
LMJLV39_000014700,LMJLV39_SCAF000568_PTU01
LMJLV39_000014800,LMJLV39_SCAF000571_PTU01
LMJLV39_000014900,LMJLV39_SCAF000572_PTU01
LMJLV39_000015000,LMJLV39_SCAF000573_PTU01
LMJLV39_000015100,LMJLV39_SCAF000574_PTU01
LMJLV39_000015200,LMJLV39_SCAF000576_PTU01
LMJLV39_000015300,LMJLV39_SCAF000576_PTU01
LMJLV39_000015400,LMJLV39_SCAF000576_PTU01
LMJLV39_000015500,LMJLV39_SCAF000577_PTU01
LMJLV39_000015600,LMJLV39_SCAF000580_PTU01
LMJLV39_000015700,LMJLV39_SCAF000583_PTU01
LMJLV39_000015800,LMJLV39_SCAF000584_PTU01
LMJLV39_000015900,LMJLV39_SCAF000584_PTU01
LMJLV39_000016000,LMJLV39_SCAF000584_PTU01
LMJLV39_000016100,LMJLV39_SCAF000588_PTU01
LMJLV39_000016200,LMJLV39_SCAF000589_PTU01
LMJLV39_000016300,LMJLV39_SCAF000593_PTU01
LMJLV39_000016400,LMJLV39_SCAF000594_PTU01
LMJLV39_000016500,LMJLV39_SCAF000595_PTU01
LMJLV39_000016600,LMJLV39_SCAF000600_PTU01
LMJLV39_000016700,LMJLV39_SCAF000602_PTU01
LMJLV39_000016800,LMJLV39_SCAF000603_PTU01
LMJLV39_000016900,LMJLV39_SCAF000604_PTU01
LMJLV39_000017000,LMJLV39_SCAF000605_PTU01
LMJLV39_000017100,LMJLV39_SCAF000607_PTU01
LMJLV39_000017200,LMJLV39_SCAF000607_PTU01
LMJLV39_000017300,LMJLV39_SCAF000610_PTU01
LMJLV39_000017400,LMJLV39_SCAF000611_PTU01
LMJLV39_000017500,LMJLV39_SCAF000613_PTU01
LMJLV39_000017600,LMJLV39_SCAF000615_PTU01
LMJLV39_000017700,LMJLV39_SCAF000617_PTU01
LMJLV39_000017800,LMJLV39_SCAF000620_PTU01
LMJLV39_000017900,LMJLV39_SCAF000624_PTU01
LMJLV39_000018000,LMJLV39_SCAF000626_PTU01
LMJLV39_000018100,LMJLV39_SCAF000628_PTU01
LMJLV39_000018200,LMJLV39_SCAF000630_PTU01
LMJLV39_000018300,LMJLV39_SCAF000633_PTU01
LMJLV39_000018400,LMJLV39_SCAF000633_PTU01
LMJLV39_000018500,LMJLV39_SCAF000634_PTU01
LMJLV39_000018600,LMJLV39_SCAF000635_PTU01
LMJLV39_000018700,LMJLV39_SCAF000636_PTU01
LMJLV39_000018800,LMJLV39_SCAF000637_PTU01
LMJLV39_000018900,LMJLV39_SCAF000638_PTU01
LMJLV39_000019000,LMJLV39_SCAF000639_PTU01
LMJLV39_000019100,LMJLV39_SCAF000640_PTU01
LMJLV39_000019200,LMJLV39_SCAF000640_PTU01
LMJLV39_000019300,LMJLV39_SCAF000642_PTU01
LMJLV39_000019400,LMJLV39_SCAF000642_PTU01
LMJLV39_000019500,LMJLV39_SCAF000642_PTU01
LMJLV39_000019600,LMJLV39_SCAF000644_PTU01
LMJLV39_000019700,LMJLV39_SCAF000645_PTU01
LMJLV39_000019800,LMJLV39_SCAF000646_PTU01
LMJLV39_000019900,LMJLV39_SCAF000647_PTU01
LMJLV39_000020000,LMJLV39_SCAF000650_PTU01
LMJLV39_000020100,LMJLV39_SCAF000736_PTU01
LMJLV39_000020200,LMJLV39_SCAF000737_PTU01
LMJLV39_000020300,LMJLV39_SCAF000738_PTU01
LMJLV39_000020400,LMJLV39_SCAF000748_PTU01
LMJLV39_000020500,LMJLV39_SCAF000752_PTU01
LMJLV39_000020600,LMJLV39_SCAF000758_PTU01
LMJLV39_000020700,LMJLV39_SCAF000759_PTU01
LMJLV39_000020800,LMJLV39_SCAF000761_PTU01
LMJLV39_000020900,LMJLV39_SCAF000764_PTU01
LMJLV39_000021000,LMJLV39_SCAF000767_PTU01
LMJLV39_000021100,LMJLV39_SCAF000768_PTU01
LMJLV39_000021200,LMJLV39_SCAF000769_PTU01
LMJLV39_000021300,LMJLV39_SCAF000771_PTU01
LMJLV39_000021400,LMJLV39_SCAF000772_PTU01
LMJLV39_010005000,LmjLV39_01_PTU01
LMJLV39_010005100,LmjLV39_01_PTU01
LMJLV39_010005200,LmjLV39_01_PTU01
LMJLV39_010005300,LmjLV39_01_PTU01
LMJLV39_010005400,LmjLV39_01_PTU01
LMJLV39_010005500,LmjLV39_01_PTU01
LMJLV39_010005600,LmjLV39_01_PTU01
LMJLV39_010005700,LmjLV39_01_PTU01
LMJLV39_010005800,LmjLV39_01_PTU01
LMJLV39_010005900,LmjLV39_01_PTU01
LMJLV39_010006000,LmjLV39_01_PTU01
LMJLV39_010006100,LmjLV39_01_PTU01
LMJLV39_010006200,LmjLV39_01_PTU01
LMJLV39_010006300,LmjLV39_01_PTU01
LMJLV39_010006400,LmjLV39_01_PTU01
LMJLV39_010006500,LmjLV39_01_PTU01
LMJLV39_010006600,LmjLV39_01_PTU01
LMJLV39_010006700,LmjLV39_01_PTU01
LMJLV39_010006800,LmjLV39_01_PTU01
LMJLV39_010006900,LmjLV39_01_PTU01
LMJLV39_010007000,LmjLV39_01_PTU01
LMJLV39_010007100,LmjLV39_01_PTU01
LMJLV39_010007200,LmjLV39_01_PTU01
LMJLV39_010007300,LmjLV39_01_PTU01
LMJLV39_010007400,LmjLV39_01_PTU01
LMJLV39_010007500,LmjLV39_01_PTU01
LMJLV39_010007600,LmjLV39_01_PTU01
LMJLV39_010007700,LmjLV39_01_PTU01
LMJLV39_010007800,LmjLV39_01_PTU01
LMJLV39_010007900,LmjLV39_01_PTU01
LMJLV39_010008000,LmjLV39_01_PTU01
LMJLV39_010008100,LmjLV39_01_PTU01
LMJLV39_010008200,LmjLV39_01_PTU01
LMJLV39_010008300,LmjLV39_01_PTU02
LMJLV39_010008400,LmjLV39_01_PTU02
LMJLV39_010008500,LmjLV39_01_PTU02
LMJLV39_010008600,LmjLV39_01_PTU02
LMJLV39_010008700,LmjLV39_01_PTU02
LMJLV39_010008800,LmjLV39_01_PTU02
LMJLV39_010008900,LmjLV39_01_PTU02
LMJLV39_010009000,LmjLV39_01_PTU02
LMJLV39_010009100,LmjLV39_01_PTU02
LMJLV39_010009200,LmjLV39_01_PTU02
LMJLV39_010009300,LmjLV39_01_PTU02
LMJLV39_010009400,LmjLV39_01_PTU02
LMJLV39_010009500,LmjLV39_01_PTU02
LMJLV39_010009600,LmjLV39_01_PTU02
LMJLV39_010009700,LmjLV39_01_PTU02
LMJLV39_010009800,LmjLV39_01_PTU02
LMJLV39_010009900,LmjLV39_01_PTU02
LMJLV39_010010000,LmjLV39_01_PTU02
LMJLV39_010010100,LmjLV39_01_PTU02
LMJLV39_010010200,LmjLV39_01_PTU02
LMJLV39_010010300,LmjLV39_01_PTU02
LMJLV39_010010400,LmjLV39_01_PTU02
LMJLV39_010010500,LmjLV39_01_PTU02
LMJLV39_010010600,LmjLV39_01_PTU02
LMJLV39_010010700,LmjLV39_01_PTU02
LMJLV39_010010800,LmjLV39_01_PTU02
LMJLV39_010010900,LmjLV39_01_PTU02
LMJLV39_010011000,LmjLV39_01_PTU02
LMJLV39_010011100,LmjLV39_01_PTU02
LMJLV39_010011200,LmjLV39_01_PTU02
LMJLV39_010011300,LmjLV39_01_PTU02
LMJLV39_010011400,LmjLV39_01_PTU02
LMJLV39_010011500,LmjLV39_01_PTU02
LMJLV39_010011600,LmjLV39_01_PTU02
LMJLV39_010011700,LmjLV39_01_PTU02
LMJLV39_010011800,LmjLV39_01_PTU02
LMJLV39_010011900,LmjLV39_01_PTU02
LMJLV39_010012000,LmjLV39_01_PTU02
LMJLV39_010012100,LmjLV39_01_PTU02
LMJLV39_010012200,LmjLV39_01_PTU02
LMJLV39_010012300,LmjLV39_01_PTU02
LMJLV39_010012400,LmjLV39_01_PTU02
LMJLV39_010012500,LmjLV39_01_PTU02
LMJLV39_010012600,LmjLV39_01_PTU02
LMJLV39_010012700,LmjLV39_01_PTU02
LMJLV39_010012800,LmjLV39_01_PTU02
LMJLV39_010012900,LmjLV39_01_PTU02
LMJLV39_010013000,LmjLV39_01_PTU02
LMJLV39_010013100,LmjLV39_01_PTU02
