gene_id,ptu
TcIL3000.11.10,T.congo.pschr.11_PTU01
TcIL3000.11.20,T.congo.pschr.11_PTU01
TcIL3000.11.30,T.congo.pschr.11_PTU01
TcIL3000.11.40,T.congo.pschr.11_PTU01
TcIL3000.11.50,T.congo.pschr.11_PTU01
TcIL3000.11.60,T.congo.pschr.11_PTU01
TcIL3000.11.70,T.congo.pschr.11_PTU01
TcIL3000.11.80,T.congo.pschr.11_PTU01
TcIL3000.11.90,T.congo.pschr.11_PTU01
TcIL3000.11.100,T.congo.pschr.11_PTU01
TcIL3000.11.110,T.congo.pschr.11_PTU01
TcIL3000.11.120,T.congo.pschr.11_PTU01
TcIL3000.11.130,T.congo.pschr.11_PTU01
TcIL3000.11.150,T.congo.pschr.11_PTU01
TcIL3000.11.160,T.congo.pschr.11_PTU01
TcIL3000.11.170,T.congo.pschr.11_PTU01
TcIL3000.11.180,T.congo.pschr.11_PTU01
TcIL3000.11.190,T.congo.pschr.11_PTU01
TcIL3000.11.200,T.congo.pschr.11_PTU01
TcIL3000.11.210,T.congo.pschr.11_PTU01
TcIL3000.11.220,T.congo.pschr.11_PTU01
TcIL3000.11.230,T.congo.pschr.11_PTU01
TcIL3000.11.240,T.congo.pschr.11_PTU01
TcIL3000.11.250,T.congo.pschr.11_PTU01
TcIL3000.11.260,T.congo.pschr.11_PTU01
TcIL3000.11.270,T.congo.pschr.11_PTU01
TcIL3000.11.280,T.congo.pschr.11_PTU01
TcIL3000.11.290,T.congo.pschr.11_PTU01
TcIL3000.11.300,T.congo.pschr.11_PTU01
TcIL3000.11.310,T.congo.pschr.11_PTU01
TcIL3000.11.320,T.congo.pschr.11_PTU01
TcIL3000.11.330,T.congo.pschr.11_PTU01
TcIL3000.11.340,T.congo.pschr.11_PTU01
TcIL3000.11.350,T.congo.pschr.11_PTU01
TcIL3000.11.360,T.congo.pschr.11_PTU01
TcIL3000.11.370,T.congo.pschr.11_PTU01
TcIL3000.11.380,T.congo.pschr.11_PTU01
TcIL3000.11.390,T.congo.pschr.11_PTU01
TcIL3000.11.400,T.congo.pschr.11_PTU01
TcIL3000.11.410,T.congo.pschr.11_PTU01
TcIL3000.11.420,T.congo.pschr.11_PTU01
TcIL3000.11.430,T.congo.pschr.11_PTU01
TcIL3000.11.440,T.congo.pschr.11_PTU01
TcIL3000.11.450,T.congo.pschr.11_PTU01
TcIL3000.11.460,T.congo.pschr.11_PTU01
TcIL3000.11.470,T.congo.pschr.11_PTU01
TcIL3000.11.480,T.congo.pschr.11_PTU01
TcIL3000.11.490,T.congo.pschr.11_PTU02
TcIL3000.11.500,T.congo.pschr.11_PTU02
TcIL3000.11.510,T.congo.pschr.11_PTU02
TcIL3000.11.520,T.congo.pschr.11_PTU02
TcIL3000.11.530,T.congo.pschr.11_PTU02
TcIL3000.11.540,T.congo.pschr.11_PTU02
TcIL3000.11.550,T.congo.pschr.11_PTU02
TcIL3000.11.560,T.congo.pschr.11_PTU02
TcIL3000.11.570,T.congo.pschr.11_PTU02
TcIL3000.11.580,T.congo.pschr.11_PTU02
TcIL3000.11.590,T.congo.pschr.11_PTU02
TcIL3000.11.600,T.congo.pschr.11_PTU02
TcIL3000.11.610,T.congo.pschr.11_PTU02
TcIL3000.11.620,T.congo.pschr.11_PTU02
TcIL3000.11.630,T.congo.pschr.11_PTU02
TcIL3000.11.640,T.congo.pschr.11_PTU02
TcIL3000.11.650,T.congo.pschr.11_PTU02
TcIL3000.11.670,T.congo.pschr.11_PTU02
TcIL3000.11.680,T.congo.pschr.11_PTU02
TcIL3000.11.690,T.congo.pschr.11_PTU02
TcIL3000.11.700,T.congo.pschr.11_PTU02
TcIL3000.11.710,T.congo.pschr.11_PTU02
TcIL3000.11.720,T.congo.pschr.11_PTU03
TcIL3000.11.730,T.congo.pschr.11_PTU04
TcIL3000.11.740,T.congo.pschr.11_PTU04
TcIL3000.11.750,T.congo.pschr.11_PTU04
TcIL3000.11.760,T.congo.pschr.11_PTU04
TcIL3000.11.770,T.congo.pschr.11_PTU04
TcIL3000.11.780,T.congo.pschr.11_PTU05
TcIL3000.11.790,T.congo.pschr.11_PTU05
TcIL3000.11.800,T.congo.pschr.11_PTU05
TcIL3000.11.810,T.congo.pschr.11_PTU05
TcIL3000.11.820,T.congo.pschr.11_PTU05
TcIL3000.11.840,T.congo.pschr.11_PTU05
TcIL3000.11.850,T.congo.pschr.11_PTU05
TcIL3000.11.860,T.congo.pschr.11_PTU05
TcIL3000.11.870,T.congo.pschr.11_PTU05
TcIL3000.11.880,T.congo.pschr.11_PTU05
TcIL3000.11.890,T.congo.pschr.11_PTU05
TcIL3000.11.900,T.congo.pschr.11_PTU05
TcIL3000.11.910,T.congo.pschr.11_PTU05
TcIL3000.11.920,T.congo.pschr.11_PTU05
TcIL3000.11.930,T.congo.pschr.11_PTU05
TcIL3000.11.940,T.congo.pschr.11_PTU05
TcIL3000.11.950,T.congo.pschr.11_PTU05
TcIL3000.11.960,T.congo.pschr.11_PTU05
TcIL3000.11.970,T.congo.pschr.11_PTU05
TcIL3000.11.980,T.congo.pschr.11_PTU05
TcIL3000.11.990,T.congo.pschr.11_PTU05
TcIL3000.11.1000,T.congo.pschr.11_PTU05
TcIL3000.11.1010,T.congo.pschr.11_PTU05
TcIL3000.11.1020,T.congo.pschr.11_PTU05
TcIL3000.11.1030,T.congo.pschr.11_PTU06
TcIL3000.11.1040,T.congo.pschr.11_PTU06
TcIL3000.11.1060,T.congo.pschr.11_PTU06
TcIL3000.11.1070,T.congo.pschr.11_PTU06
TcIL3000.11.1080,T.congo.pschr.11_PTU06
TcIL3000.11.1090,T.congo.pschr.11_PTU06
TcIL3000.11.1100,T.congo.pschr.11_PTU06
TcIL3000.11.1110,T.congo.pschr.11_PTU06
TcIL3000.11.1120,T.congo.pschr.11_PTU06
TcIL3000.11.1130,T.congo.pschr.11_PTU06
TcIL3000.11.1140,T.congo.pschr.11_PTU06
TcIL3000.11.1150,T.congo.pschr.11_PTU06
TcIL3000.11.1160,T.congo.pschr.11_PTU06
TcIL3000.11.1170,T.congo.pschr.11_PTU06
TcIL3000.11.1180,T.congo.pschr.11_PTU06
TcIL3000.11.1190,T.congo.pschr.11_PTU06
TcIL3000.11.1200,T.congo.pschr.11_PTU06
TcIL3000.11.1210,T.congo.pschr.11_PTU06
TcIL3000.11.1220,T.congo.pschr.11_PTU06
TcIL3000.11.1230,T.congo.pschr.11_PTU06
TcIL3000.11.1240,T.congo.pschr.11_PTU07
TcIL3000.11.1250,T.congo.pschr.11_PTU07
TcIL3000.11.1260,T.congo.pschr.11_PTU07
TcIL3000.11.1270,T.congo.pschr.11_PTU07
TcIL3000.11.1280,T.congo.pschr.11_PTU07
TcIL3000.11.1290,T.congo.pschr.11_PTU07
TcIL3000.11.1300,T.congo.pschr.11_PTU07
TcIL3000.11.1320,T.congo.pschr.11_PTU08
TcIL3000.11.1330,T.congo.pschr.11_PTU08
TcIL3000.11.1340,T.congo.pschr.11_PTU08
TcIL3000.11.1350,T.congo.pschr.11_PTU08
TcIL3000.11.1360,T.congo.pschr.11_PTU08
TcIL3000.11.1370,T.congo.pschr.11_PTU09
TcIL3000.11.1380,T.congo.pschr.11_PTU10
TcIL3000.11.1390,T.congo.pschr.11_PTU10
TcIL3000.11.1400,T.congo.pschr.11_PTU10
TcIL3000.11.1410,T.congo.pschr.11_PTU10
TcIL3000.11.1420,T.congo.pschr.11_PTU10
TcIL3000.11.1430,T.congo.pschr.11_PTU10
TcIL3000.11.1440,T.congo.pschr.11_PTU10
TcIL3000.11.1450,T.congo.pschr.11_PTU10
TcIL3000.11.1460,T.congo.pschr.11_PTU10
TcIL3000.11.1470,T.congo.pschr.11_PTU10
TcIL3000.11.1480,T.congo.pschr.11_PTU10
TcIL3000.11.1490,T.congo.pschr.11_PTU10
TcIL3000.11.1500,T.congo.pschr.11_PTU10
TcIL3000.11.1510,T.congo.pschr.11_PTU10
TcIL3000.11.1520,T.congo.pschr.11_PTU10
TcIL3000.11.1530,T.congo.pschr.11_PTU10
TcIL3000.11.1540,T.congo.pschr.11_PTU10
TcIL3000.11.1550,T.congo.pschr.11_PTU10
TcIL3000.11.1560,T.congo.pschr.11_PTU10
TcIL3000.11.1570,T.congo.pschr.11_PTU10
TcIL3000.11.1580,T.congo.pschr.11_PTU11
TcIL3000.11.1590,T.congo.pschr.11_PTU11
TcIL3000.11.1600,T.congo.pschr.11_PTU12
TcIL3000.11.1610,T.congo.pschr.11_PTU13
TcIL3000.11.1620,T.congo.pschr.11_PTU13
TcIL3000.11.1630,T.congo.pschr.11_PTU13
TcIL3000.11.1640,T.congo.pschr.11_PTU13
TcIL3000.11.1650,T.congo.pschr.11_PTU13
TcIL3000.11.1660,T.congo.pschr.11_PTU13
TcIL3000.11.1670,T.congo.pschr.11_PTU13
TcIL3000.11.1680,T.congo.pschr.11_PTU13
TcIL3000.11.1690,T.congo.pschr.11_PTU13
TcIL3000.11.1700,T.congo.pschr.11_PTU13
TcIL3000.11.1710,T.congo.pschr.11_PTU13
TcIL3000.11.1720,T.congo.pschr.11_PTU13
TcIL3000.11.1730,T.congo.pschr.11_PTU13
TcIL3000.11.1740,T.congo.pschr.11_PTU13
TcIL3000.11.1750,T.congo.pschr.11_PTU13
TcIL3000.11.1760,T.congo.pschr.11_PTU13
TcIL3000.11.1770,T.congo.pschr.11_PTU13
TcIL3000.11.1780,T.congo.pschr.11_PTU13
TcIL3000.11.1800,T.congo.pschr.11_PTU13
TcIL3000.11.1790,T.congo.pschr.11_PTU13
TcIL3000.11.1820,T.congo.pschr.11_PTU13
TcIL3000.11.1830,T.congo.pschr.11_PTU13
TcIL3000.11.1840,T.congo.pschr.11_PTU13
TcIL3000.11.1850,T.congo.pschr.11_PTU13
TcIL3000.11.1860,T.congo.pschr.11_PTU13
TcIL3000.11.1870,T.congo.pschr.11_PTU13
TcIL3000.11.1880,T.congo.pschr.11_PTU13
TcIL3000.11.1890,T.congo.pschr.11_PTU13
TcIL3000.11.1900,T.congo.pschr.11_PTU13
TcIL3000.11.1910,T.congo.pschr.11_PTU13
TcIL3000.11.1920,T.congo.pschr.11_PTU13
TcIL3000.11.1930,T.congo.pschr.11_PTU14
TcIL3000.11.1940,T.congo.pschr.11_PTU14
TcIL3000.11.1950,T.congo.pschr.11_PTU14
TcIL3000.11.1960,T.congo.pschr.11_PTU14
TcIL3000.11.2000,T.congo.pschr.11_PTU14
