gene_id,ptu
LPAL13_000005000,LPAL13_SCAF000001_PTU01
LPAL13_000005100,LPAL13_SCAF000003_PTU01
LPAL13_000005200,LPAL13_SCAF000003_PTU01
LPAL13_000005300,LPAL13_SCAF000010_PTU01
LPAL13_000005400,LPAL13_SCAF000011_PTU01
LPAL13_000005500,LPAL13_SCAF000011_PTU01
LPAL13_000005600,LPAL13_SCAF000011_PTU01
LPAL13_000005700,LPAL13_SCAF000017_PTU01
LPAL13_000005800,LPAL13_SCAF000021_PTU01
LPAL13_000005900,LPAL13_SCAF000025_PTU01
LPAL13_000006000,LPAL13_SCAF000027_PTU01
LPAL13_000006100,LPAL13_SCAF000027_PTU01
LPAL13_000006200,LPAL13_SCAF000027_PTU01
LPAL13_000006300,LPAL13_SCAF000027_PTU01
LPAL13_000006400,LPAL13_SCAF000027_PTU01
LPAL13_000006500,LPAL13_SCAF000027_PTU01
LPAL13_000006600,LPAL13_SCAF000028_PTU01
LPAL13_000006700,LPAL13_SCAF000033_PTU01
LPAL13_000006800,LPAL13_SCAF000033_PTU01
LPAL13_000006900,LPAL13_SCAF000033_PTU01
LPAL13_000007000,LPAL13_SCAF000038_PTU01
LPAL13_000007100,LPAL13_SCAF000038_PTU01
LPAL13_000007200,LPAL13_SCAF000038_PTU01
LPAL13_000007300,LPAL13_SCAF000038_PTU01
LPAL13_000007400,LPAL13_SCAF000039_PTU01
LPAL13_000007500,LPAL13_SCAF000041_PTU01
LPAL13_000007600,LPAL13_SCAF000041_PTU01
LPAL13_000007700,LPAL13_SCAF000041_PTU01
LPAL13_000007800,LPAL13_SCAF000041_PTU01
LPAL13_000007900,LPAL13_SCAF000041_PTU01
LPAL13_000008000,LPAL13_SCAF000041_PTU01
LPAL13_000008100,LPAL13_SCAF000041_PTU01
LPAL13_000008200,LPAL13_SCAF000041_PTU01
LPAL13_000008300,LPAL13_SCAF000041_PTU01
LPAL13_000008400,LPAL13_SCAF000041_PTU01
LPAL13_000008500,LPAL13_SCAF000041_PTU01
LPAL13_000008600,LPAL13_SCAF000041_PTU01
LPAL13_000008700,LPAL13_SCAF000041_PTU01
LPAL13_000008800,LPAL13_SCAF000041_PTU01
LPAL13_000008900,LPAL13_SCAF000041_PTU01
LPAL13_000009000,LPAL13_SCAF000041_PTU01
LPAL13_000009100,LPAL13_SCAF000041_PTU01
LPAL13_000009200,LPAL13_SCAF000041_PTU01
LPAL13_000009300,LPAL13_SCAF000041_PTU01
LPAL13_000009400,LPAL13_SCAF000041_PTU01
LPAL13_000009500,LPAL13_SCAF000041_PTU01
LPAL13_000009600,LPAL13_SCAF000041_PTU01
LPAL13_000009700,LPAL13_SCAF000044_PTU01
