gene_id,ptu
LMJSD75_010005000,LmjSD75_01_PTU01
LMJSD75_010005100,LmjSD75_01_PTU01
LMJSD75_010005200,LmjSD75_01_PTU01
LMJSD75_010005300,LmjSD75_01_PTU01
LMJSD75_010005400,LmjSD75_01_PTU01
LMJSD75_010005500,LmjSD75_01_PTU01
LMJSD75_010005600,LmjSD75_01_PTU01
LMJSD75_010005700,LmjSD75_01_PTU01
LMJSD75_010005800,LmjSD75_01_PTU01
LMJSD75_010005900,LmjSD75_01_PTU01
LMJSD75_010006000,LmjSD75_01_PTU01
LMJSD75_010006100,LmjSD75_01_PTU01
LMJSD75_010006200,LmjSD75_01_PTU01
LMJSD75_010006300,LmjSD75_01_PTU01
LMJSD75_010006400,LmjSD75_01_PTU01
LMJSD75_010006500,LmjSD75_01_PTU01
LMJSD75_010006600,LmjSD75_01_PTU01
LMJSD75_010006700,LmjSD75_01_PTU01
LMJSD75_010006800,LmjSD75_01_PTU01
LMJSD75_010006900,LmjSD75_01_PTU01
LMJSD75_010007000,LmjSD75_01_PTU01
LMJSD75_010007100,LmjSD75_01_PTU01
LMJSD75_010007200,LmjSD75_01_PTU01
LMJSD75_010007300,LmjSD75_01_PTU01
LMJSD75_010007400,LmjSD75_01_PTU01
LMJSD75_010007500,LmjSD75_01_PTU01
LMJSD75_010007600,LmjSD75_01_PTU01
LMJSD75_010007700,LmjSD75_01_PTU01
LMJSD75_010007800,LmjSD75_01_PTU01
LMJSD75_010007900,LmjSD75_01_PTU01
LMJSD75_010008000,LmjSD75_01_PTU01
LMJSD75_010008100,LmjSD75_01_PTU01
LMJSD75_010008200,LmjSD75_01_PTU01
LMJSD75_010008300,LmjSD75_01_PTU01
LMJSD75_010008400,LmjSD75_01_PTU02
LMJSD75_010008500,LmjSD75_01_PTU02
LMJSD75_010008600,LmjSD75_01_PTU02
LMJSD75_010008700,LmjSD75_01_PTU02
LMJSD75_010008800,LmjSD75_01_PTU02
LMJSD75_010008900,LmjSD75_01_PTU02
LMJSD75_010009000,LmjSD75_01_PTU02
LMJSD75_010009100,LmjSD75_01_PTU02
LMJSD75_010009200,LmjSD75_01_PTU02
LMJSD75_010009300,LmjSD75_01_PTU02
LMJSD75_010009400,LmjSD75_01_PTU02
LMJSD75_010009500,LmjSD75_01_PTU02
LMJSD75_010009600,LmjSD75_01_PTU02
LMJSD75_010009700,LmjSD75_01_PTU02
LMJSD75_010009800,LmjSD75_01_PTU02
LMJSD75_010009900,LmjSD75_01_PTU02
LMJSD75_010010000,LmjSD75_01_PTU02
LMJSD75_010010100,LmjSD75_01_PTU02
LMJSD75_010010200,LmjSD75_01_PTU02
LMJSD75_010010300,LmjSD75_01_PTU02
LMJSD75_010010400,LmjSD75_01_PTU02
LMJSD75_010010500,LmjSD75_01_PTU02
LMJSD75_010010600,LmjSD75_01_PTU02
LMJSD75_010010700,LmjSD75_01_PTU02
LMJSD75_010010800,LmjSD75_01_PTU02
LMJSD75_010010900,LmjSD75_01_PTU02
LMJSD75_010011000,LmjSD75_01_PTU02
LMJSD75_010011100,LmjSD75_01_PTU02
LMJSD75_010011200,LmjSD75_01_PTU02
LMJSD75_010011300,LmjSD75_01_PTU02
LMJSD75_010011400,LmjSD75_01_PTU02
LMJSD75_010011500,LmjSD75_01_PTU02
LMJSD75_010011600,LmjSD75_01_PTU02
LMJSD75_010011700,LmjSD75_01_PTU02
LMJSD75_010011800,LmjSD75_01_PTU02
LMJSD75_010011900,LmjSD75_01_PTU02
LMJSD75_010012000,LmjSD75_01_PTU02
LMJSD75_010012100,LmjSD75_01_PTU02
LMJSD75_010012200,LmjSD75_01_PTU02
LMJSD75_010012300,LmjSD75_01_PTU02
LMJSD75_010012400,LmjSD75_01_PTU02
LMJSD75_010012500,LmjSD75_01_PTU02
LMJSD75_010012600,LmjSD75_01_PTU02
LMJSD75_010012700,LmjSD75_01_PTU02
LMJSD75_010012800,LmjSD75_01_PTU02
LMJSD75_010012900,LmjSD75_01_PTU02
LMJSD75_010013000,LmjSD75_01_PTU02
LMJSD75_010013100,LmjSD75_01_PTU02
LMJSD75_010013200,LmjSD75_01_PTU02
LMJSD75_010013300,LmjSD75_01_PTU02
LMJSD75_010013400,LmjSD75_01_PTU02
LMJSD75_010013500,LmjSD75_01_PTU02
LMJSD75_010013600,LmjSD75_01_PTU02
LMJSD75_010013700,LmjSD75_01_PTU02
LMJSD75_010013800,LmjSD75_01_PTU02
LMJSD75_010013900,LmjSD75_01_PTU02
LMJSD75_020005000,LmjSD75_02_PTU01
LMJSD75_020005100,LmjSD75_02_PTU01
LMJSD75_020005200,LmjSD75_02_PTU01
LMJSD75_020005300,LmjSD75_02_PTU01
LMJSD75_020005400,LmjSD75_02_PTU01
LMJSD75_020005500,LmjSD75_02_PTU01
LMJSD75_020005600,LmjSD75_02_PTU01
LMJSD75_020005700,LmjSD75_02_PTU01
LMJSD75_020005800,LmjSD75_02_PTU01
LMJSD75_020005900,LmjSD75_02_PTU01
LMJSD75_020006000,LmjSD75_02_PTU01
LMJSD75_020006100,LmjSD75_02_PTU01
LMJSD75_020006200,LmjSD75_02_PTU01
LMJSD75_020006300,LmjSD75_02_PTU01
LMJSD75_020006400,LmjSD75_02_PTU01
LMJSD75_020006500,LmjSD75_02_PTU01
LMJSD75_020006600,LmjSD75_02_PTU01
LMJSD75_020006700,LmjSD75_02_PTU01
LMJSD75_020006800,LmjSD75_02_PTU01
LMJSD75_020006900,LmjSD75_02_PTU01
LMJSD75_020007000,LmjSD75_02_PTU01
LMJSD75_020007100,LmjSD75_02_PTU01
LMJSD75_020007200,LmjSD75_02_PTU01
LMJSD75_020007300,LmjSD75_02_PTU01
LMJSD75_020007400,LmjSD75_02_PTU01
LMJSD75_020007500,LmjSD75_02_PTU01
LMJSD75_020007600,LmjSD75_02_PTU01
LMJSD75_020007700,LmjSD75_02_PTU01
LMJSD75_020007800,LmjSD75_02_PTU01
LMJSD75_020007900,LmjSD75_02_PTU01
LMJSD75_020008000,LmjSD75_02_PTU01
LMJSD75_020008100,LmjSD75_02_PTU01
LMJSD75_020008200,LmjSD75_02_PTU01
LMJSD75_020008300,LmjSD75_02_PTU01
LMJSD75_020008400,LmjSD75_02_PTU01
LMJSD75_020008500,LmjSD75_02_PTU01
LMJSD75_020008600,LmjSD75_02_PTU01
