gene_id,ptu
Tbg.972.2.60,Tbg972_02_PTU01
Tbg.972.2.120,Tbg972_02_PTU02
Tbg.972.2.170,Tbg972_02_PTU02
Tbg.972.2.180,Tbg972_02_PTU02
Tbg.972.2.190,Tbg972_02_PTU02
Tbg.972.2.200,Tbg972_02_PTU02
Tbg.972.2.210,Tbg972_02_PTU02
Tbg.972.2.220,Tbg972_02_PTU03
Tbg.972.2.230,Tbg972_02_PTU03
Tbg.972.2.250,Tbg972_02_PTU03
Tbg.972.2.260,Tbg972_02_PTU03
Tbg.972.2.270,Tbg972_02_PTU03
Tbg.972.2.280,Tbg972_02_PTU03
Tbg.972.2.290,Tbg972_02_PTU03
Tbg.972.2.300,Tbg972_02_PTU03
Tbg.972.2.310,Tbg972_02_PTU03
Tbg.972.2.320,Tbg972_02_PTU03
Tbg.972.2.330,Tbg972_02_PTU03
Tbg.972.2.340,Tbg972_02_PTU03
Tbg.972.2.350,Tbg972_02_PTU03
Tbg.972.2.360,Tbg972_02_PTU03
Tbg.972.2.370,Tbg972_02_PTU03
Tbg.972.2.380,Tbg972_02_PTU03
Tbg.972.2.390,Tbg972_02_PTU03
Tbg.972.2.400,Tbg972_02_PTU03
Tbg.972.2.410,Tbg972_02_PTU03
Tbg.972.2.430,Tbg972_02_PTU03
Tbg.972.2.480,Tbg972_02_PTU03
Tbg.972.2.490,Tbg972_02_PTU04
Tbg.972.2.500,Tbg972_02_PTU04
Tbg.972.2.510,Tbg972_02_PTU04
Tbg.972.2.520,Tbg972_02_PTU04
Tbg.972.2.530,Tbg972_02_PTU04
Tbg.972.2.570,Tbg972_02_PTU04
Tbg.972.2.620,Tbg972_02_PTU04
Tbg.972.2.630,Tbg972_02_PTU04
Tbg.972.2.640,Tbg972_02_PTU05
Tbg.972.2.650,Tbg972_02_PTU05
Tbg.972.2.660,Tbg972_02_PTU05
Tbg.972.2.670,Tbg972_02_PTU06
Tbg.972.2.680,Tbg972_02_PTU06
Tbg.972.2.690,Tbg972_02_PTU06
Tbg.972.2.700,Tbg972_02_PTU06
Tbg.972.2.710,Tbg972_02_PTU06
Tbg.972.2.720,Tbg972_02_PTU06
Tbg.972.2.730,Tbg972_02_PTU06
Tbg.972.2.740,Tbg972_02_PTU06
Tbg.972.2.760,Tbg972_02_PTU06
Tbg.972.2.770,Tbg972_02_PTU06
Tbg.972.2.780,Tbg972_02_PTU06
Tbg.972.2.790,Tbg972_02_PTU06
Tbg.972.2.800,Tbg972_02_PTU06
Tbg.972.2.810,Tbg972_02_PTU06
Tbg.972.2.820,Tbg972_02_PTU06
Tbg.972.2.830,Tbg972_02_PTU06
Tbg.972.2.840,Tbg972_02_PTU06
Tbg.972.2.850,Tbg972_02_PTU06
Tbg.972.2.870,Tbg972_02_PTU06
Tbg.972.2.880,Tbg972_02_PTU06
Tbg.972.2.890,Tbg972_02_PTU06
Tbg.972.2.900,Tbg972_02_PTU06
Tbg.972.2.910,Tbg972_02_PTU06
Tbg.972.2.930,Tbg972_02_PTU06
Tbg.972.2.940,Tbg972_02_PTU06
Tbg.972.2.950,Tbg972_02_PTU06
Tbg.972.2.960,Tbg972_02_PTU06
Tbg.972.2.980,Tbg972_02_PTU06
Tbg.972.2.990,Tbg972_02_PTU06
Tbg.972.2.1010,Tbg972_02_PTU06
Tbg.972.2.1030,Tbg972_02_PTU06
Tbg.972.2.1040,Tbg972_02_PTU06
Tbg.972.2.1050,Tbg972_02_PTU06
Tbg.972.2.1060,Tbg972_02_PTU06
Tbg.972.2.1070,Tbg972_02_PTU06
Tbg.972.2.1080,Tbg972_02_PTU06
Tbg.972.2.1090,Tbg972_02_PTU06
Tbg.972.2.1100,Tbg972_02_PTU06
Tbg.972.2.1110,Tbg972_02_PTU06
Tbg.972.2.1120,Tbg972_02_PTU06
Tbg.972.2.1130,Tbg972_02_PTU06
Tbg.972.2.1140,Tbg972_02_PTU06
Tbg.972.2.1150,Tbg972_02_PTU06
Tbg.972.2.1160,Tbg972_02_PTU06
Tbg.972.2.1170,Tbg972_02_PTU06
Tbg.972.2.1180,Tbg972_02_PTU06
Tbg.972.2.1190,Tbg972_02_PTU07
Tbg.972.2.1200,Tbg972_02_PTU07
Tbg.972.2.1210,Tbg972_02_PTU07
Tbg.972.2.1230,Tbg972_02_PTU07
Tbg.972.2.1250,Tbg972_02_PTU07
Tbg.972.2.1260,Tbg972_02_PTU07
Tbg.972.2.1270,Tbg972_02_PTU07
Tbg.972.2.1280,Tbg972_02_PTU07
Tbg.972.2.1290,Tbg972_02_PTU07
Tbg.972.2.1300,Tbg972_02_PTU07
Tbg.972.2.1310,Tbg972_02_PTU07
Tbg.972.2.1320,Tbg972_02_PTU07
Tbg.972.2.1330,Tbg972_02_PTU07
Tbg.972.2.1340,Tbg972_02_PTU07
Tbg.972.2.1350,Tbg972_02_PTU07
Tbg.972.2.1370,Tbg972_02_PTU07
Tbg.972.2.1380,Tbg972_02_PTU07
Tbg.972.2.1390,Tbg972_02_PTU07
Tbg.972.2.1400,Tbg972_02_PTU07
Tbg.972.2.1410,Tbg972_02_PTU07
Tbg.972.2.1420,Tbg972_02_PTU07
Tbg.972.2.1430,Tbg972_02_PTU07
Tbg.972.2.1440,Tbg972_02_PTU07
Tbg.972.2.1450,Tbg972_02_PTU07
Tbg.972.2.1460,Tbg972_02_PTU07
Tbg.972.2.1490,Tbg972_02_PTU07
Tbg.972.2.1500,Tbg972_02_PTU07
Tbg.972.2.1510,Tbg972_02_PTU07
Tbg.972.2.1520,Tbg972_02_PTU07
Tbg.972.2.1530,Tbg972_02_PTU07
Tbg.972.2.1560,Tbg972_02_PTU07
Tbg.972.2.1570,Tbg972_02_PTU07
Tbg.972.2.1580,Tbg972_02_PTU07
Tbg.972.2.1600,Tbg972_02_PTU07
Tbg.972.2.1610,Tbg972_02_PTU07
Tbg.972.2.1630,Tbg972_02_PTU07
Tbg.972.2.1640,Tbg972_02_PTU07
Tbg.972.2.1650,Tbg972_02_PTU07
Tbg.972.2.1660,Tbg972_02_PTU07
Tbg.972.2.1670,Tbg972_02_PTU07
Tbg.972.2.1680,Tbg972_02_PTU07
Tbg.972.2.1690,Tbg972_02_PTU07
Tbg.972.2.1700,Tbg972_02_PTU07
Tbg.972.2.1710,Tbg972_02_PTU07
Tbg.972.2.1720,Tbg972_02_PTU07
Tbg.972.2.1730,Tbg972_02_PTU07
Tbg.972.2.1740,Tbg972_02_PTU07
Tbg.972.2.1750,Tbg972_02_PTU07
Tbg.972.2.1760,Tbg972_02_PTU07
Tbg.972.2.1770,Tbg972_02_PTU07
Tbg.972.2.1780,Tbg972_02_PTU07
Tbg.972.2.1790,Tbg972_02_PTU07
Tbg.972.2.1800,Tbg972_02_PTU07
Tbg.972.2.1810,Tbg972_02_PTU08
Tbg.972.2.1820,Tbg972_02_PTU08
Tbg.972.2.1830,Tbg972_02_PTU08
Tbg.972.2.1840,Tbg972_02_PTU08
Tbg.972.2.1850,Tbg972_02_PTU08
Tbg.972.2.1860,Tbg972_02_PTU08
Tbg.972.2.1870,Tbg972_02_PTU08
Tbg.972.2.1880,Tbg972_02_PTU08
Tbg.972.2.1890,Tbg972_02_PTU08
Tbg.972.2.1900,Tbg972_02_PTU08
Tbg.972.2.1910,Tbg972_02_PTU08
Tbg.972.2.1920,Tbg972_02_PTU08
Tbg.972.2.1930,Tbg972_02_PTU08
Tbg.972.2.1940,Tbg972_02_PTU08
Tbg.972.2.1950,Tbg972_02_PTU08
Tbg.972.2.1960,Tbg972_02_PTU08
Tbg.972.2.1970,Tbg972_02_PTU08
Tbg.972.2.1980,Tbg972_02_PTU08
Tbg.972.2.1990,Tbg972_02_PTU08
Tbg.972.2.2000,Tbg972_02_PTU08
Tbg.972.2.2010,Tbg972_02_PTU08
Tbg.972.2.2020,Tbg972_02_PTU08
Tbg.972.2.2040,Tbg972_02_PTU08
Tbg.972.2.2050,Tbg972_02_PTU08
Tbg.972.2.2060,Tbg972_02_PTU08
Tbg.972.2.2070,Tbg972_02_PTU08
Tbg.972.2.2100,Tbg972_02_PTU08
Tbg.972.2.2140,Tbg972_02_PTU08
Tbg.972.2.2150,Tbg972_02_PTU08
Tbg.972.2.2160,Tbg972_02_PTU08
Tbg.972.2.2170,Tbg972_02_PTU08
Tbg.972.2.2180,Tbg972_02_PTU08
Tbg.972.2.2190,Tbg972_02_PTU08
Tbg.972.2.2200,Tbg972_02_PTU08
Tbg.972.2.2210,Tbg972_02_PTU08
Tbg.972.2.2220,Tbg972_02_PTU08
Tbg.972.2.2240,Tbg972_02_PTU08
Tbg.972.2.2250,Tbg972_02_PTU08
Tbg.972.2.2260,Tbg972_02_PTU08
Tbg.972.2.2270,Tbg972_02_PTU08
Tbg.972.2.2280,Tbg972_02_PTU08
Tbg.972.2.2290,Tbg972_02_PTU08
Tbg.972.2.2300,Tbg972_02_PTU08
Tbg.972.2.2310,Tbg972_02_PTU08
Tbg.972.2.2320,Tbg972_02_PTU08
Tbg.972.2.2330,Tbg972_02_PTU08
Tbg.972.2.2340,Tbg972_02_PTU08
Tbg.972.2.2350,Tbg972_02_PTU08
Tbg.972.2.2360,Tbg972_02_PTU08
Tbg.972.2.2370,Tbg972_02_PTU08
Tbg.972.2.2380,Tbg972_02_PTU08
Tbg.972.2.2400,Tbg972_02_PTU08
Tbg.972.2.2410,Tbg972_02_PTU08
Tbg.972.2.2420,Tbg972_02_PTU08
Tbg.972.2.2430,Tbg972_02_PTU08
Tbg.972.2.2440,Tbg972_02_PTU08
Tbg.972.2.2450,Tbg972_02_PTU08
Tbg.972.2.2460,Tbg972_02_PTU08
Tbg.972.2.2470,Tbg972_02_PTU08
