gene_id,ptu
TCDM_00001,AYLP01000001_PTU01
TCDM_00002,AYLP01000001_PTU01
TCDM_00003,AYLP01000001_PTU01
TCDM_00004,AYLP01000001_PTU01
TCDM_00005,AYLP01000001_PTU01
TCDM_00007,AYLP01000001_PTU01
TCDM_00009,AYLP01000001_PTU01
TCDM_00010,AYLP01000001_PTU01
TCDM_00011,AYLP01000001_PTU01
TCDM_00012,AYLP01000001_PTU01
TCDM_00013,AYLP01000001_PTU01
TCDM_00014,AYLP01000001_PTU01
TCDM_00015,AYLP01000001_PTU01
TCDM_00016,AYLP01000001_PTU01
TCDM_00017,AYLP01000001_PTU01
TCDM_00018,AYLP01000001_PTU01
TCDM_00019,AYLP01000001_PTU01
TCDM_00020,AYLP01000001_PTU01
TCDM_00021,AYLP01000001_PTU01
TCDM_00022,AYLP01000001_PTU01
TCDM_00027,AYLP01000001_PTU01
TCDM_00029,AYLP01000001_PTU01
TCDM_00030,AYLP01000001_PTU01
TCDM_00031,AYLP01000001_PTU01
TCDM_00032,AYLP01000001_PTU01
TCDM_00033,AYLP01000001_PTU01
TCDM_00034,AYLP01000001_PTU01
TCDM_00035,AYLP01000001_PTU01
TCDM_00037,AYLP01000001_PTU01
TCDM_00038,AYLP01000001_PTU01
TCDM_00039,AYLP01000001_PTU01
TCDM_00041,AYLP01000001_PTU01
TCDM_00042,AYLP01000001_PTU01
TCDM_00043,AYLP01000001_PTU01
TCDM_00044,AYLP01000001_PTU01
TCDM_00045,AYLP01000001_PTU01
TCDM_00046,AYLP01000001_PTU01
TCDM_00047,AYLP01000001_PTU01
TCDM_00051,AYLP01000001_PTU01
TCDM_00053,AYLP01000001_PTU01
TCDM_00055,AYLP01000001_PTU01
TCDM_00057,AYLP01000001_PTU01
TCDM_00058,AYLP01000001_PTU01
TCDM_00059,AYLP01000001_PTU01
TCDM_00060,AYLP01000001_PTU01
TCDM_00062,AYLP01000001_PTU01
TCDM_00063,AYLP01000001_PTU01
TCDM_00064,AYLP01000001_PTU01
TCDM_00066,AYLP01000001_PTU01
TCDM_00068,AYLP01000001_PTU01
TCDM_00069,AYLP01000001_PTU01
TCDM_00070,AYLP01000001_PTU01
TCDM_00071,AYLP01000001_PTU01
TCDM_00072,AYLP01000001_PTU01
TCDM_00073,AYLP01000001_PTU01
TCDM_00074,AYLP01000001_PTU01
TCDM_00076,AYLP01000001_PTU01
TCDM_00077,AYLP01000001_PTU01
TCDM_00078,AYLP01000001_PTU01
TCDM_00080,AYLP01000001_PTU01
TCDM_00082,AYLP01000001_PTU01
TCDM_00084,AYLP01000001_PTU01
TCDM_00086,AYLP01000001_PTU01
TCDM_00089,AYLP01000001_PTU01
TCDM_00090,AYLP01000001_PTU01
TCDM_00093,AYLP01000001_PTU01
TCDM_00095,AYLP01000001_PTU01
TCDM_00096,AYLP01000001_PTU01
TCDM_00097,AYLP01000001_PTU01
TCDM_00098,AYLP01000001_PTU01
TCDM_00099,AYLP01000001_PTU01
TCDM_00100,AYLP01000001_PTU01
TCDM_00101,AYLP01000001_PTU01
TCDM_00102,AYLP01000001_PTU01
TCDM_00103,AYLP01000001_PTU02
TCDM_00104,AYLP01000001_PTU02
TCDM_00105,AYLP01000001_PTU02
TCDM_00106,AYLP01000001_PTU02
TCDM_00107,AYLP01000001_PTU02
TCDM_00108,AYLP01000001_PTU02
TCDM_00109,AYLP01000001_PTU02
TCDM_00111,AYLP01000001_PTU02
TCDM_00112,AYLP01000001_PTU02
TCDM_00113,AYLP01000001_PTU02
TCDM_00114,AYLP01000001_PTU02
TCDM_00115,AYLP01000001_PTU02
TCDM_00116,AYLP01000001_PTU02
TCDM_00117,AYLP01000001_PTU02
TCDM_00118,AYLP01000001_PTU02
TCDM_00120,AYLP01000001_PTU02
TCDM_00121,AYLP01000001_PTU02
TCDM_14171,AYLP01000001_PTU02
TCDM_00122,AYLP01000001_PTU02
TCDM_00123,AYLP01000001_PTU02
TCDM_00124,AYLP01000001_PTU02
TCDM_14151,AYLP01000001_PTU02
TCDM_14114,AYLP01000001_PTU02
TCDM_13879,AYLP01000001_PTU02
TCDM_00127,AYLP01000001_PTU02
TCDM_00128,AYLP01000001_PTU02
TCDM_00129,AYLP01000001_PTU02
TCDM_00133,AYLP01000001_PTU02
TCDM_00134,AYLP01000001_PTU02
TCDM_00135,AYLP01000001_PTU02
TCDM_00136,AYLP01000001_PTU02
TCDM_14040,AYLP01000001_PTU02
TCDM_00137,AYLP01000001_PTU02
TCDM_00138,AYLP01000001_PTU02
TCDM_00139,AYLP01000001_PTU02
TCDM_14187,AYLP01000001_PTU02
TCDM_00143,AYLP01000001_PTU02
TCDM_14280,AYLP01000001_PTU02
TCDM_00144,AYLP01000001_PTU02
TCDM_00145,AYLP01000001_PTU02
TCDM_00146,AYLP01000001_PTU02
TCDM_00147,AYLP01000001_PTU02
TCDM_00148,AYLP01000001_PTU02
TCDM_14053,AYLP01000001_PTU02
TCDM_00150,AYLP01000001_PTU02
TCDM_13762,AYLP01000001_PTU02
TCDM_00152,AYLP01000001_PTU02
TCDM_14290,AYLP01000001_PTU02
TCDM_00153,AYLP01000001_PTU02
TCDM_00154,AYLP01000001_PTU02
TCDM_00155,AYLP01000001_PTU02
TCDM_00156,AYLP01000001_PTU02
TCDM_00157,AYLP01000001_PTU02
TCDM_00158,AYLP01000001_PTU02
TCDM_00159,AYLP01000001_PTU02
TCDM_00160,AYLP01000001_PTU02
TCDM_00161,AYLP01000001_PTU02
TCDM_14322,AYLP01000001_PTU02
TCDM_00165,AYLP01000001_PTU02
TCDM_00166,AYLP01000001_PTU02
TCDM_00167,AYLP01000001_PTU02
TCDM_00168,AYLP01000001_PTU02
TCDM_00169,AYLP01000001_PTU02
TCDM_13947,AYLP01000001_PTU02
TCDM_00170,AYLP01000001_PTU02
TCDM_00171,AYLP01000001_PTU02
TCDM_00173,AYLP01000001_PTU02
TCDM_00175,AYLP01000001_PTU02
TCDM_00176,AYLP01000001_PTU02
TCDM_13972,AYLP01000001_PTU02
TCDM_00178,AYLP01000001_PTU02
TCDM_00179,AYLP01000001_PTU02
TCDM_00180,AYLP01000001_PTU02
TCDM_14454,AYLP01000001_PTU02
TCDM_00182,AYLP01000001_PTU02
TCDM_00183,AYLP01000001_PTU02
TCDM_00184,AYLP01000001_PTU02
TCDM_00185,AYLP01000001_PTU02
TCDM_00186,AYLP01000001_PTU02
TCDM_00187,AYLP01000001_PTU02
TCDM_00188,AYLP01000001_PTU02
TCDM_00189,AYLP01000001_PTU02
TCDM_00190,AYLP01000001_PTU02
TCDM_00192,AYLP01000001_PTU02
TCDM_00193,AYLP01000001_PTU02
TCDM_00194,AYLP01000001_PTU02
TCDM_00195,AYLP01000001_PTU02
TCDM_00196,AYLP01000001_PTU02
TCDM_00197,AYLP01000001_PTU02
TCDM_00198,AYLP01000001_PTU02
TCDM_14289,AYLP01000001_PTU02
TCDM_00200,AYLP01000001_PTU02
TCDM_00201,AYLP01000001_PTU02
TCDM_00202,AYLP01000001_PTU02
TCDM_00203,AYLP01000001_PTU02
TCDM_00204,AYLP01000001_PTU02
TCDM_00205,AYLP01000001_PTU02
TCDM_00206,AYLP01000001_PTU02
TCDM_00207,AYLP01000001_PTU02
TCDM_00208,AYLP01000001_PTU02
TCDM_00210,AYLP01000001_PTU02
TCDM_00211,AYLP01000001_PTU02
TCDM_14271,AYLP01000001_PTU02
TCDM_00212,AYLP01000001_PTU02
TCDM_00214,AYLP01000001_PTU02
TCDM_14455,AYLP01000001_PTU02
TCDM_00215,AYLP01000001_PTU02
TCDM_00217,AYLP01000001_PTU02
TCDM_00218,AYLP01000001_PTU02
TCDM_00219,AYLP01000001_PTU02
TCDM_00220,AYLP01000001_PTU02
TCDM_00222,AYLP01000001_PTU02
TCDM_00223,AYLP01000001_PTU02
TCDM_00224,AYLP01000001_PTU02
TCDM_00225,AYLP01000001_PTU02
TCDM_00226,AYLP01000001_PTU02
TCDM_00227,AYLP01000001_PTU02
TCDM_00228,AYLP01000001_PTU02
TCDM_00229,AYLP01000001_PTU02
TCDM_00231,AYLP01000001_PTU02
TCDM_00232,AYLP01000001_PTU02
TCDM_00233,AYLP01000001_PTU02
TCDM_00234,AYLP01000001_PTU02
TCDM_00235,AYLP01000001_PTU02
TCDM_13795,AYLP01000001_PTU02
TCDM_14212,AYLP01000001_PTU02
TCDM_00237,AYLP01000001_PTU02
TCDM_00238,AYLP01000001_PTU02
TCDM_00239,AYLP01000001_PTU02
TCDM_00240,AYLP01000001_PTU02
TCDM_00241,AYLP01000001_PTU02
TCDM_00242,AYLP01000001_PTU02
TCDM_00243,AYLP01000001_PTU02
TCDM_00244,AYLP01000001_PTU03
TCDM_00245,AYLP01000001_PTU03
TCDM_00246,AYLP01000001_PTU03
TCDM_00247,AYLP01000002_PTU01
TCDM_00248,AYLP01000002_PTU01
TCDM_00249,AYLP01000002_PTU01
TCDM_00251,AYLP01000002_PTU01
TCDM_00252,AYLP01000002_PTU01
TCDM_00253,AYLP01000002_PTU01
TCDM_00254,AYLP01000002_PTU01
TCDM_00255,AYLP01000002_PTU01
TCDM_00257,AYLP01000002_PTU01
TCDM_00258,AYLP01000002_PTU01
TCDM_00259,AYLP01000002_PTU01
TCDM_00262,AYLP01000002_PTU01
TCDM_00263,AYLP01000002_PTU01
TCDM_00264,AYLP01000002_PTU01
TCDM_00265,AYLP01000002_PTU02
TCDM_13999,AYLP01000002_PTU02
TCDM_00266,AYLP01000002_PTU02
TCDM_00268,AYLP01000002_PTU02
TCDM_00269,AYLP01000002_PTU02
TCDM_00270,AYLP01000002_PTU02
TCDM_00271,AYLP01000002_PTU02
TCDM_14445,AYLP01000002_PTU02
TCDM_00272,AYLP01000002_PTU02
TCDM_14195,AYLP01000002_PTU02
TCDM_00273,AYLP01000002_PTU02
TCDM_00274,AYLP01000002_PTU02
TCDM_00275,AYLP01000002_PTU02
TCDM_00277,AYLP01000002_PTU02
TCDM_00278,AYLP01000002_PTU02
TCDM_00279,AYLP01000002_PTU02
TCDM_00280,AYLP01000002_PTU02
TCDM_14458,AYLP01000002_PTU02
TCDM_00281,AYLP01000002_PTU02
TCDM_00282,AYLP01000002_PTU02
TCDM_00283,AYLP01000002_PTU02
TCDM_00284,AYLP01000002_PTU02
TCDM_00285,AYLP01000002_PTU02
TCDM_00287,AYLP01000002_PTU02
TCDM_00288,AYLP01000002_PTU02
TCDM_00289,AYLP01000002_PTU02
TCDM_00290,AYLP01000002_PTU02
TCDM_14103,AYLP01000002_PTU02
TCDM_00291,AYLP01000002_PTU02
TCDM_00292,AYLP01000002_PTU02
TCDM_00293,AYLP01000002_PTU02
TCDM_00294,AYLP01000002_PTU02
TCDM_00295,AYLP01000002_PTU02
TCDM_00296,AYLP01000002_PTU02
TCDM_00297,AYLP01000002_PTU02
