gene_id,ptu
LbrM.01.0010,LbrM.01_PTU01
LbrM.01.0020,LbrM.01_PTU01
LbrM.01.0030,LbrM.01_PTU01
LbrM.01.0040,LbrM.01_PTU01
LbrM.01.0050,LbrM.01_PTU01
LbrM.01.0060,LbrM.01_PTU01
LbrM.01.0070,LbrM.01_PTU01
LbrM.01.0080,LbrM.01_PTU01
LbrM.01.0090,LbrM.01_PTU01
LbrM.01.0100,LbrM.01_PTU01
LbrM.01.0110,LbrM.01_PTU01
LbrM.01.0120,LbrM.01_PTU01
LbrM.01.0130,LbrM.01_PTU01
LbrM.01.0140,LbrM.01_PTU01
LbrM.01.0150,LbrM.01_PTU01
LbrM.01.0160,LbrM.01_PTU01
LbrM.01.0170,LbrM.01_PTU01
LbrM.01.0180,LbrM.01_PTU01
LbrM.01.0190,LbrM.01_PTU01
LbrM.01.0200,LbrM.01_PTU01
LbrM.01.0210,LbrM.01_PTU01
LbrM.01.0220,LbrM.01_PTU01
LbrM.01.0230,LbrM.01_PTU01
LbrM.01.0240,LbrM.01_PTU01
LbrM.01.0250,LbrM.01_PTU01
LbrM.01.0260,LbrM.01_PTU01
LbrM.01.0270,LbrM.01_PTU01
LbrM.01.0280,LbrM.01_PTU01
LbrM.01.0290,LbrM.01_PTU01
LbrM.01.0300,LbrM.01_PTU01
LbrM.01.0310,LbrM.01_PTU01
LbrM.01.0320,LbrM.01_PTU01
LbrM.01.0330,LbrM.01_PTU01
LbrM.01.0340,LbrM.01_PTU01
LbrM.01.0350,LbrM.01_PTU01
LbrM.01.0360,LbrM.01_PTU02
LbrM.01.0370,LbrM.01_PTU02
LbrM.01.0380,LbrM.01_PTU02
LbrM.01.0390,LbrM.01_PTU02
LbrM.01.0400,LbrM.01_PTU02
LbrM.01.0410,LbrM.01_PTU02
LbrM.01.0420,LbrM.01_PTU02
LbrM.01.0430,LbrM.01_PTU02
LbrM.01.0440,LbrM.01_PTU02
LbrM.01.0450,LbrM.01_PTU02
LbrM.01.0460,LbrM.01_PTU02
LbrM.01.0470,LbrM.01_PTU02
LbrM.01.0480,LbrM.01_PTU02
LbrM.01.0490,LbrM.01_PTU02
LbrM.01.0500,LbrM.01_PTU02
LbrM.01.0510,LbrM.01_PTU02
LbrM.01.0520,LbrM.01_PTU02
LbrM.01.0530,LbrM.01_PTU02
LbrM.01.0540,LbrM.01_PTU02
LbrM.01.0550,LbrM.01_PTU02
LbrM.01.0560,LbrM.01_PTU02
LbrM.01.0570,LbrM.01_PTU02
LbrM.01.0580,LbrM.01_PTU02
LbrM.01.0590,LbrM.01_PTU02
LbrM.01.0600,LbrM.01_PTU02
LbrM.01.0610,LbrM.01_PTU02
LbrM.01.0620,LbrM.01_PTU02
LbrM.01.0630,LbrM.01_PTU02
LbrM.01.0640,LbrM.01_PTU02
LbrM.01.0650,LbrM.01_PTU02
LbrM.01.0660,LbrM.01_PTU02
LbrM.01.0670,LbrM.01_PTU02
LbrM.01.0680,LbrM.01_PTU02
LbrM.01.0690,LbrM.01_PTU02
LbrM.01.0700,LbrM.01_PTU02
LbrM.01.0710,LbrM.01_PTU02
LbrM.01.0720,LbrM.01_PTU02
LbrM.01.0730,LbrM.01_PTU02
LbrM.01.0740,LbrM.01_PTU02
LbrM.01.0750,LbrM.01_PTU02
LbrM.01.0760,LbrM.01_PTU02
LbrM.01.0770,LbrM.01_PTU02
LbrM.01.0780,LbrM.01_PTU02
LbrM.10.1540,LbrM.00_PTU01
LbrM.10.1550,LbrM.00_PTU01
LbrM.10.1560,LbrM.00_PTU01
LbrM.10.1570,LbrM.00_PTU01
LbrM.10.1580,LbrM.00_PTU01
LbrM.10.1590,LbrM.00_PTU01
LbrM.10.1600,LbrM.00_PTU01
LbrM.10.1610,LbrM.00_PTU01
LbrM.10.1620,LbrM.00_PTU01
LbrM.10.1630,LbrM.00_PTU01
LbrM.10.1640,LbrM.00_PTU02
LbrM.10.1650,LbrM.00_PTU02
LbrM.10.1660,LbrM.00_PTU02
LbrM.10.1670,LbrM.00_PTU02
LbrM.10.1680,LbrM.00_PTU02
LbrM.10.1690,LbrM.00_PTU03
LbrM.10.1700,LbrM.00_PTU03
LbrM.10.1710,LbrM.00_PTU03
LbrM.10.1720,LbrM.00_PTU03
LbrM.12.0950,LbrM.00_PTU03
LbrM.12.0960,LbrM.00_PTU03
LbrM.13.1580,LbrM.00_PTU03
LbrM.13.1590,LbrM.00_PTU03
LbrM.14.1690,LbrM.00_PTU03
LbrM.16.1730,LbrM.00_PTU03
LbrM.16.1740,LbrM.00_PTU03
LbrM.18.1730,LbrM.00_PTU03
LbrM.18.1740,LbrM.00_PTU03
LbrM.18.1750,LbrM.00_PTU03
LbrM.18.1760,LbrM.00_PTU03
LbrM.18.1770,LbrM.00_PTU03
LbrM.18.1780,LbrM.00_PTU03
LbrM.19.1910,LbrM.00_PTU04
LbrM.19.1920,LbrM.00_PTU04
LbrM.19.1930,LbrM.00_PTU04
LbrM.19.1940,LbrM.00_PTU04
LbrM.01.0790,LbrM.00_PTU05
LbrM.21.ncRNA1,LbrM.00_PTU05
LbrM.21.2080,LbrM.00_PTU05
LbrM.21.2090,LbrM.00_PTU05
LbrM.21.2100,LbrM.00_PTU05
LbrM.21.2110,LbrM.00_PTU05
LbrM.21.2120,LbrM.00_PTU05
LbrM.21.2130,LbrM.00_PTU05
LbrM.21.2140,LbrM.00_PTU05
LbrM.21.2150,LbrM.00_PTU05
LbrM.21.2160,LbrM.00_PTU05
LbrM.21.2170,LbrM.00_PTU05
LbrM.21.2180,LbrM.00_PTU05
LbrM.21.2190,LbrM.00_PTU05
LbrM.22.1600,LbrM.00_PTU05
LbrM.22.1610,LbrM.00_PTU06
LbrM.22.1620,LbrM.00_PTU06
LbrM.24.2440,LbrM.00_PTU06
LbrM.24.2450,LbrM.00_PTU06
LbrM.25.2030,LbrM.00_PTU07
LbrM.25.2040,LbrM.00_PTU07
