gene_id,ptu
LmxM.22.1690partial,LmxM.00_PTU01
LmxM.34.0540a,LmxM.00_PTU01
LmxM.33.1680,LmxM.00_PTU01
LmxM.19.1345apartial,LmxM.00_PTU01
LmxM.34.0540b,LmxM.00_PTU01
LmxM.33.1920c,LmxM.00_PTU02
LmxM.33.1740,LmxM.00_PTU02
LmxM.33.1730,LmxM.00_PTU02
LmxM.33.1720,LmxM.00_PTU02
LmxM.30.0440b,LmxM.00_PTU02
LmxM.33.1820,LmxM.00_PTU02
LmxM.33.1810,LmxM.00_PTU02
LmxM.11.1120,LmxM.00_PTU02
LmxM.11.1130partial,LmxM.00_PTU02
LmxM.30.0960,LmxM.00_PTU02
LmxM.30.0950,LmxM.00_PTU02
LmxM.30.1440a,LmxM.00_PTU02
LmxM.30.0470b,LmxM.00_PTU02
LmxM.30.0460b,LmxM.00_PTU02
LmxM.23.0870,LmxM.00_PTU02
LmxM.23.0880a,LmxM.00_PTU02
LmxM.30.0450g,LmxM.00_PTU02
LmxM.33.1920d,LmxM.00_PTU02
LmxM.33.1610,LmxM.00_PTU02
LmxM.33.1600,LmxM.00_PTU02
LmxM.33.1590,LmxM.00_PTU02
LmxM.27.1580a,LmxM.00_PTU02
LmxM.27.1560a,LmxM.00_PTU02
LmxM.30.1450partial,LmxM.00_PTU02
LmxM.30.0450a,LmxM.00_PTU02
LmxM.30.0440a,LmxM.00_PTU02
LmxM.22.1690a,LmxM.00_PTU02
LmxM.30.1440c,LmxM.00_PTU02
LmxM.30.0440,LmxM.00_PTU02
LmxM.30.0430,LmxM.00_PTU02
LmxM.30.0460a,LmxM.00_PTU02
LmxM.34.0520b,LmxM.00_PTU02
LmxM.34.0540,LmxM.00_PTU02
LmxM.33.1830b,LmxM.00_PTU02
LmxM.15.0440c,LmxM.00_PTU03
LmxM.26.1690,LmxM.00_PTU03
LmxM.11.1220a,LmxM.00_PTU03
LmxM.34.0500a,LmxM.00_PTU03
LmxM.30.0450b,LmxM.00_PTU03
LmxM.08.1040c,LmxM.00_PTU03
LmxM.08.1030,LmxM.00_PTU03
LmxM.33.1800,LmxM.00_PTU04
LmxM.34.0400a,LmxM.00_PTU04
LmxM.34.0400b,LmxM.00_PTU04
LmxM.34.2810b,LmxM.00_PTU04
LmxM.30.0450i,LmxM.00_PTU04
LmxM.30.0460f,LmxM.00_PTU04
LmxM.33.1900,LmxM.00_PTU04
LmxM.33.1890,LmxM.00_PTU04
LmxM.33.1920a,LmxM.00_PTU04
LmxM.16.0890a,LmxM.00_PTU05
LmxM.16.1010partial,LmxM.00_PTU05
LmxM.08.1050,LmxM.00_PTU05
LmxM.08.1040,LmxM.00_PTU06
LmxM.20.1365,LmxM.00_PTU07
LmxM.20.1370a,LmxM.00_PTU08
LmxM.24.1500a,LmxM.00_PTU08
LmxM.17.0190partial,LmxM.00_PTU08
LmxM.34.0520,LmxM.00_PTU09
LmxM.27.1390,LmxM.00_PTU10
LmxM.27.1380a,LmxM.00_PTU11
LmxM.09.0410,LmxM.00_PTU11
LmxM.16.1460a,LmxM.00_PTU11
LmxM.33.1920b,LmxM.00_PTU11
LmxM.14.1120a,LmxM.00_PTU11
LmxM.14.1120b,LmxM.00_PTU11
LmxM.16.1460cpartial,LmxM.00_PTU11
LmxM.30.0450d,LmxM.00_PTU11
LmxM.30.0460g,LmxM.00_PTU11
LmxM.33.1900a,LmxM.00_PTU11
LmxM.08.0790a,LmxM.00_PTU11
LmxM.10.0465a,LmxM.00_PTU11
LmxM.08.1040a,LmxM.00_PTU11
LmxM.08.1030a,LmxM.00_PTU11
LmxM.26.0010a,LmxM.00_PTU11
LmxM.34.3330a,LmxM.00_PTU12
LmxM.02.0200partial,LmxM.00_PTU12
LmxM.33.1580,LmxM.00_PTU12
LmxM.33.1570,LmxM.00_PTU12
LmxM.33.1560a,LmxM.00_PTU12
LmxM.30.0450e,LmxM.00_PTU13
LmxM.30.0460e,LmxM.00_PTU13
LmxM.30.0452c,LmxM.00_PTU13
LmxM.30.0460c,LmxM.00_PTU13
LmxM.30.0450c,LmxM.00_PTU13
LmxM.33.1720b,LmxM.00_PTU13
LmxM.33.1725,LmxM.00_PTU13
LmxM.30.0460d,LmxM.00_PTU13
LmxM.30.0480b,LmxM.00_PTU13
LmxM.30.0490b,LmxM.00_PTU13
LmxM.14.1100partial,LmxM.00_PTU13
LmxM.28.2740a,LmxM.00_PTU14
LmxM.28.2750partial,LmxM.00_PTU14
LmxM.22.1690b,LmxM.00_PTU14
LmxM.05.1070a,LmxM.00_PTU14
LmxM.05.1080a,LmxM.00_PTU14
LmxM.32.3070partial,LmxM.00_PTU14
LmxM.15.0440a,LmxM.00_PTU15
LmxM.34.0540d,LmxM.00_PTU15
LmxM.28.1930partial,LmxM.00_PTU15
LmxM.33.1920e,LmxM.00_PTU15
LmxM.22.0691a,LmxM.00_PTU15
LmxM.34.0520a,LmxM.00_PTU16
LmxM.28.3030partial,LmxM.00_PTU16
LmxM.30.1460,LmxM.00_PTU16
LmxM.30.3040a,LmxM.00_PTU17
LmxM.30.0453,LmxM.00_PTU17
LmxM.30.0454,LmxM.00_PTU17
LmxM.21.0620a,LmxM.00_PTU17
LmxM.21.0630,LmxM.00_PTU17
LmxM.10.0380,LmxM.00_PTU17
LmxM.00%3AncRNA%3Arfamscan%3A422967-423060,LmxM.00_PTU17
LmxM.00%3AncRNA%3Arfamscan%3A422971-423055,LmxM.00_PTU18
LmxM.00%3AncRNA%3Arfamscan%3A422971-423050,LmxM.00_PTU18
LmxM.00%3AncRNA%3Arfamscan%3A422974-423063,LmxM.00_PTU18
LmxM.00%3AncRNA%3Arfamscan%3A423014-423115,LmxM.00_PTU19
LmxM.00%3AncRNA%3Arfamscan%3A423026-423143,LmxM.00_PTU20
LmxM.30.1440b,LmxM.00_PTU21
LmxM.05.0510b,LmxM.00_PTU21
LmxM.31.3650,LmxM.00_PTU22
LmxM.13.0290partial,LmxM.00_PTU22
LmxM.13.0300,LmxM.00_PTU22
LmxM.14.0730a,LmxM.00_PTU22
LmxM.14.0720,LmxM.00_PTU22
LmxM.14.0710,LmxM.00_PTU22
LmxM.00%3AncRNA%3Arfamscan%3A448324-448416,LmxM.00_PTU23
LmxM.08_29.1500a,LmxM.00_PTU23
LmxM.34.0540c,LmxM.00_PTU23
LmxM.34.0540e,LmxM.00_PTU23
LmxM.33.1720c,LmxM.00_PTU24
LmxM.20_36.6470,LmxM.00_PTU24
LmxM.20_36.6480a,LmxM.00_PTU24
LmxM.30.0450h,LmxM.00_PTU24
LmxM.08.1070partial,LmxM.00_PTU24
LmxM.15.0440b,LmxM.00_PTU24
LmxM.33.1840,LmxM.00_PTU24
LmxM.34.1830a,LmxM.00_PTU24
LmxM.30.1800a,LmxM.00_PTU25
LmxM.33.1920,LmxM.00_PTU25
LmxM.08.1050a,LmxM.00_PTU25
LmxM.08.1040b,LmxM.00_PTU25
LmxM.33.1721,LmxM.00_PTU25
LmxM.33.1720a,LmxM.00_PTU25
LmxM.11.0660a,LmxM.00_PTU25
LmxM.22.1690c,LmxM.00_PTU25
LmxM.33.1830,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A525827-525994,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A525843-525979,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A526451-526539,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A526638-526710,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A530824-530902,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A539732-539784,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A540103-540191,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A540290-540362,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A544014-544163,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A544021-544161,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A544021-544168,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A544024-544148,LmxM.00_PTU25
LmxM.00%3AncRNA%3Arfamscan%3A544029-544147,LmxM.00_PTU26
LmxM.00%3AncRNA%3Arfamscan%3A544037-544150,LmxM.00_PTU26
LmxM.00%3AncRNA%3Arfamscan%3A544037-544146,LmxM.00_PTU26
LmxM.00%3AncRNA%3Arfamscan%3A544037-544155,LmxM.00_PTU26
LmxM.00%3AncRNA%3Arfamscan%3A544039-544144,LmxM.00_PTU27
LmxM.00%3AncRNA%3Arfamscan%3A544040-544143,LmxM.00_PTU27
LmxM.00%3AncRNA%3Arfamscan%3A544041-544144,LmxM.00_PTU27
LmxM.00%3AncRNA%3Arfamscan%3A544043-544140,LmxM.00_PTU27
LmxM.00%3AncRNA%3Arfamscan%3A544043-544147,LmxM.00_PTU27
LmxM.00%3AncRNA%3Arfamscan%3A544045-544136,LmxM.00_PTU27
LmxM.00%3AncRNA%3Arfamscan%3A544047-544138,LmxM.00_PTU28
LmxM.00%3ArRNA%3Arfamscan%3A576565-576732,LmxM.00_PTU29
LmxM.00%3AncRNA%3Arfamscan%3A597479-597802,LmxM.00_PTU30
LmxM.00%3AncRNA%3Arfamscan%3A597516-597765,LmxM.00_PTU30
LmxM.00%3AncRNA%3Arfamscan%3A637837-637919,LmxM.00_PTU31
LmxM.00%3AncRNA%3Arfamscan%3A637845-637904,LmxM.00_PTU31
LmxM.00%3ArRNA%3Arfamscan%3A655615-655782,LmxM.00_PTU32
LmxM.00%3AncRNA%3Arfamscan%3A708666-708725,LmxM.00_PTU33
LmxM.00%3AncRNA%3Arfamscan%3A725839-725959,LmxM.00_PTU34
LmxM.00%3AncRNA%3Arfamscan%3A766285-766466,LmxM.00_PTU35
LmxM.00%3AncRNA%3Arfamscan%3A767289-767361,LmxM.00_PTU35
LmxM.00%3AncRNA%3Arfamscan%3A767460-767548,LmxM.00_PTU35
LmxM.00%3AncRNA%3Arfamscan%3A776827-776899,LmxM.00_PTU36
LmxM.00%3AncRNA%3Arfamscan%3A777722-778015,LmxM.00_PTU36
LmxM.00%3AncRNA%3Arfamscan%3A790191-790268,LmxM.00_PTU37
LmxM.00%3AncRNA%3Arfamscan%3A867027-867099,LmxM.00_PTU38
LmxM.00%3AncRNA%3Arfamscan%3A867198-867286,LmxM.00_PTU38
LmxM.00%3AncRNA%3Arfamscan%3A867393-867686,LmxM.00_PTU38
LmxM.00%3AncRNA%3Arfamscan%3A868509-868581,LmxM.00_PTU38
LmxM.00%3AncRNA%3Arfamscan%3A868680-868768,LmxM.00_PTU38
LmxM.00%3AncRNA%3Arfamscan%3A868863-869156,LmxM.00_PTU38
LmxM.00%3ArRNA%3Arfamscan%3A1128121-1128229,LmxM.00_PTU39
LmxM.01.0010,LmxM.01_PTU01
LmxM.01.0020,LmxM.01_PTU01
LmxM.01.0030,LmxM.01_PTU01
LmxM.01.0040,LmxM.01_PTU01
LmxM.01.0050,LmxM.01_PTU01
