gene_id,ptu
TcCLB.510401.50,TcChr28-P_PTU01
TcCLB.510401.31,TcChr28-P_PTU01
TcCLB.510401.10,TcChr28-P_PTU01
TcCLB.510399.39,TcChr28-P_PTU01
TcCLB.510399.20,TcChr28-P_PTU01
TcCLB.510399.10,TcChr28-P_PTU01
TcCLB.510397.39,TcChr28-P_PTU01
TcCLB.510397.30,TcChr28-P_PTU01
TcCLB.510397.20,TcChr28-P_PTU01
TcCLB.510397.10,TcChr28-P_PTU02
TcCLB.510397.5,TcChr28-P_PTU02
TcCLB.510395.30,TcChr28-P_PTU02
TcCLB.510395.20,TcChr28-P_PTU02
TcCLB.510395.10,TcChr28-P_PTU02
TcCLB.503617.40,TcChr28-P_PTU02
TcCLB.503617.31,TcChr28-P_PTU02
TcCLB.503617.20,TcChr28-P_PTU02
TcCLB.503617.15,TcChr28-P_PTU02
TcCLB.503617.10,TcChr28-P_PTU02
TcCLB.510393.10,TcChr28-P_PTU02
TcCLB.506793.100,TcChr28-P_PTU02
TcCLB.506793.90,TcChr28-P_PTU02
TcCLB.506793.80,TcChr28-P_PTU02
TcCLB.506793.70,TcChr28-P_PTU02
TcCLB.506793.60,TcChr28-P_PTU02
TcCLB.506793.50,TcChr28-P_PTU02
TcCLB.506793.40,TcChr28-P_PTU02
TcCLB.506793.30,TcChr28-P_PTU02
TcCLB.506793.20,TcChr28-P_PTU02
TcCLB.506793.10,TcChr28-P_PTU02
TcCLB.506791.79,TcChr28-P_PTU02
TcCLB.506791.70,TcChr28-P_PTU02
TcCLB.506791.60,TcChr28-P_PTU02
TcCLB.506791.50,TcChr28-P_PTU02
TcCLB.506791.45,TcChr28-P_PTU02
TcCLB.506791.44,TcChr28-P_PTU02
TcCLB.506791.43,TcChr28-P_PTU02
TcCLB.506791.42,TcChr28-P_PTU02
TcCLB.506791.41,TcChr28-P_PTU02
TcCLB.506791.40,TcChr28-P_PTU02
TcCLB.506791.39,TcChr28-P_PTU02
TcCLB.506791.38,TcChr28-P_PTU02
TcCLB.506791.37,TcChr28-P_PTU02
TcCLB.506791.36,TcChr28-P_PTU02
TcCLB.506791.35,TcChr28-P_PTU02
TcCLB.506791.34,TcChr28-P_PTU02
TcCLB.506791.33,TcChr28-P_PTU02
TcCLB.506791.32,TcChr28-P_PTU02
TcCLB.506791.31,TcChr28-P_PTU02
TcCLB.506791.30,TcChr28-P_PTU02
TcCLB.506791.20,TcChr28-P_PTU02
TcCLB.506791.10,TcChr28-P_PTU02
TcCLB.504175.40,TcChr28-P_PTU02
TcCLB.504175.30,TcChr28-P_PTU02
TcCLB.504175.20,TcChr28-P_PTU02
TcCLB.504175.9,TcChr28-P_PTU02
TcCLB.508263.30,TcChr28-P_PTU02
TcCLB.508263.10,TcChr28-P_PTU02
TcCLB.508263.5,TcChr28-P_PTU02
TcCLB.506789.352,TcChr28-P_PTU02
TcCLB.506789.340,TcChr28-P_PTU02
TcCLB.506789.334,TcChr28-P_PTU02
TcCLB.506789.330,TcChr28-P_PTU02
TcCLB.506789.310,TcChr28-P_PTU02
TcCLB.506789.300,TcChr28-P_PTU02
TcCLB.506789.290,TcChr28-P_PTU02
TcCLB.506789.280,TcChr28-P_PTU02
TcCLB.506789.270,TcChr28-P_PTU02
TcCLB.506789.260,TcChr28-P_PTU02
TcCLB.506789.249,TcChr28-P_PTU02
TcCLB.506789.240,TcChr28-P_PTU02
TcCLB.506789.230,TcChr28-P_PTU02
TcCLB.506789.220,TcChr28-P_PTU02
TcCLB.506789.210,TcChr28-P_PTU02
TcCLB.506789.200,TcChr28-P_PTU02
TcCLB.506789.190,TcChr28-P_PTU02
TcCLB.506789.180,TcChr28-P_PTU02
TcCLB.506789.170,TcChr28-P_PTU02
TcCLB.506789.160,TcChr28-P_PTU02
TcCLB.506789.150,TcChr28-P_PTU02
TcCLB.506789.140,TcChr28-P_PTU02
TcCLB.506789.130,TcChr28-P_PTU02
TcCLB.506789.120,TcChr28-P_PTU02
TcCLB.506789.110,TcChr28-P_PTU02
TcCLB.506789.50,TcChr28-P_PTU03
TcCLB.506789.40,TcChr28-P_PTU03
TcCLB.506789.30,TcChr28-P_PTU03
TcCLB.506789.20,TcChr28-P_PTU03
TcCLB.506789.11,TcChr28-P_PTU03
TcCLB.510391.50,TcChr28-P_PTU03
TcCLB.510391.40,TcChr28-P_PTU03
TcCLB.510391.30,TcChr28-P_PTU04
TcCLB.510391.20,TcChr28-P_PTU04
TcCLB.510391.10,TcChr28-P_PTU04
TcCLB.510389.10,TcChr28-P_PTU04
TcCLB.508261.166,TcChr28-P_PTU04
TcCLB.508261.150,TcChr28-P_PTU04
TcCLB.508261.145,TcChr28-P_PTU04
TcCLB.508261.140,TcChr28-P_PTU05
