gene_id,ptu
TRSC58_01712,AUPL01001712_PTU01
AUPL01001712_tRNA_Cys1,AUPL01001712_PTU01
TRSC58_02787,AUPL01002787_PTU01
AUPL01002787_tRNA_Ile1,AUPL01002787_PTU01
TRSC58_04787,AUPL01004787_PTU01
AUPL01004787_tRNA_Ser1,AUPL01004787_PTU01
AUPL01006996_tRNA_Leu1,AUPL01006996_PTU01
TRSC58_06996,AUPL01006996_PTU01
TRSC58_00001,AUPL01000001_PTU01
TRSC58_00002,AUPL01000002_PTU01
TRSC58_00003,AUPL01000003_PTU01
TRSC58_00004,AUPL01000004_PTU01
TRSC58_00005,AUPL01000005_PTU01
TRSC58_00006,AUPL01000006_PTU01
TRSC58_00007,AUPL01000007_PTU01
TRSC58_00008,AUPL01000008_PTU01
TRSC58_00009,AUPL01000009_PTU01
TRSC58_00010,AUPL01000010_PTU01
TRSC58_00011,AUPL01000011_PTU01
TRSC58_00012,AUPL01000012_PTU01
TRSC58_00013,AUPL01000013_PTU01
TRSC58_00014,AUPL01000014_PTU01
TRSC58_00015,AUPL01000015_PTU01
TRSC58_00016,AUPL01000016_PTU01
TRSC58_00017,AUPL01000017_PTU01
TRSC58_00018,AUPL01000018_PTU01
TRSC58_00019,AUPL01000019_PTU01
TRSC58_00020,AUPL01000020_PTU01
TRSC58_00021,AUPL01000021_PTU01
TRSC58_00022,AUPL01000022_PTU01
TRSC58_00023,AUPL01000023_PTU01
TRSC58_00024,AUPL01000024_PTU01
TRSC58_00025,AUPL01000025_PTU01
TRSC58_00026,AUPL01000026_PTU01
TRSC58_00027,AUPL01000027_PTU01
TRSC58_00028,AUPL01000028_PTU01
TRSC58_00029,AUPL01000029_PTU01
TRSC58_00030,AUPL01000030_PTU01
TRSC58_00031,AUPL01000031_PTU01
TRSC58_00032,AUPL01000032_PTU01
TRSC58_00033,AUPL01000033_PTU01
TRSC58_00034,AUPL01000034_PTU01
TRSC58_00035,AUPL01000035_PTU01
TRSC58_00036,AUPL01000036_PTU01
TRSC58_00037,AUPL01000037_PTU01
TRSC58_00038,AUPL01000038_PTU01
