gene_id,ptu
LAEL147_000005000,LAEL147_SCAF000001_PTU01
LAEL147_000005100,LAEL147_SCAF000002_PTU01
LAEL147_000005200,LAEL147_SCAF000002_PTU01
LAEL147_000005300,LAEL147_SCAF000003_PTU01
LAEL147_000005400,LAEL147_SCAF000008_PTU01
LAEL147_000005500,LAEL147_SCAF000009_PTU01
LAEL147_000005600,LAEL147_SCAF000009_PTU01
LAEL147_000005700,LAEL147_SCAF000010_PTU01
LAEL147_000005800,LAEL147_SCAF000010_PTU01
LAEL147_000005900,LAEL147_SCAF000010_PTU01
LAEL147_000006000,LAEL147_SCAF000010_PTU01
LAEL147_000006100,LAEL147_SCAF000010_PTU01
LAEL147_000006200,LAEL147_SCAF000010_PTU01
LAEL147_000006300,LAEL147_SCAF000010_PTU01
LAEL147_000006400,LAEL147_SCAF000011_PTU01
LAEL147_000006500,LAEL147_SCAF000011_PTU01
LAEL147_000006600,LAEL147_SCAF000013_PTU01
LAEL147_000006700,LAEL147_SCAF000014_PTU01
LAEL147_000006800,LAEL147_SCAF000015_PTU01
LAEL147_000006900,LAEL147_SCAF000015_PTU01
LAEL147_000007000,LAEL147_SCAF000016_PTU01
LAEL147_000007100,LAEL147_SCAF000016_PTU01
LAEL147_000007200,LAEL147_SCAF000017_PTU01
LAEL147_000007300,LAEL147_SCAF000019_PTU01
LAEL147_000007400,LAEL147_SCAF000020_PTU01
LAEL147_000007500,LAEL147_SCAF000021_PTU01
LAEL147_000007600,LAEL147_SCAF000021_PTU01
LAEL147_000007700,LAEL147_SCAF000021_PTU01
LAEL147_000007800,LAEL147_SCAF000021_PTU01
LAEL147_000007900,LAEL147_SCAF000021_PTU01
LAEL147_000008000,LAEL147_SCAF000021_PTU02
LAEL147_000008100,LAEL147_SCAF000021_PTU02
LAEL147_000008200,LAEL147_SCAF000021_PTU02
LAEL147_000008300,LAEL147_SCAF000021_PTU02
LAEL147_000008400,LAEL147_SCAF000021_PTU02
LAEL147_000008500,LAEL147_SCAF000022_PTU01
LAEL147_000008600,LAEL147_SCAF000025_PTU01
LAEL147_000008700,LAEL147_SCAF000027_PTU01
LAEL147_000008800,LAEL147_SCAF000027_PTU01
LAEL147_000008900,LAEL147_SCAF000027_PTU01
LAEL147_000009000,LAEL147_SCAF000029_PTU01
LAEL147_000009100,LAEL147_SCAF000030_PTU01
LAEL147_000009200,LAEL147_SCAF000032_PTU01
LAEL147_000009300,LAEL147_SCAF000034_PTU01
LAEL147_000009400,LAEL147_SCAF000034_PTU01
LAEL147_000009500,LAEL147_SCAF000036_PTU01
LAEL147_000009600,LAEL147_SCAF000037_PTU01
LAEL147_000009700,LAEL147_SCAF000037_PTU01
LAEL147_000009800,LAEL147_SCAF000037_PTU01
LAEL147_000009900,LAEL147_SCAF000037_PTU01
LAEL147_000010000,LAEL147_SCAF000037_PTU01
LAEL147_000010100,LAEL147_SCAF000037_PTU01
LAEL147_000010200,LAEL147_SCAF000037_PTU01
LAEL147_000010300,LAEL147_SCAF000037_PTU01
LAEL147_000010400,LAEL147_SCAF000040_PTU01
LAEL147_000010500,LAEL147_SCAF000043_PTU01
LAEL147_000010600,LAEL147_SCAF000044_PTU01
LAEL147_000010700,LAEL147_SCAF000045_PTU01
LAEL147_000010800,LAEL147_SCAF000045_PTU01
LAEL147_000010900,LAEL147_SCAF000045_PTU01
LAEL147_000011000,LAEL147_SCAF000045_PTU01
LAEL147_000011100,LAEL147_SCAF000046_PTU01
LAEL147_000011200,LAEL147_SCAF000047_PTU01
LAEL147_000011300,LAEL147_SCAF000049_PTU01
