gene_id,ptu
TvY486_1000010,TvY486_10_PTU01
TvY486_1000020,TvY486_10_PTU01
TvY486_1000030,TvY486_10_PTU01
TvY486_1000040,TvY486_10_PTU01
TvY486_1000050,TvY486_10_PTU01
TvY486_1000060,TvY486_10_PTU01
TvY486_1000070,TvY486_10_PTU01
TvY486_1000080,TvY486_10_PTU01
TvY486_1000090,TvY486_10_PTU01
TvY486_1000100,TvY486_10_PTU01
TvY486_1000110,TvY486_10_PTU01
TvY486_1000120,TvY486_10_PTU01
TvY486_1000130,TvY486_10_PTU01
TvY486_1000140,TvY486_10_PTU01
TvY486_1000150,TvY486_10_PTU01
TvY486_1000160,TvY486_10_PTU01
TvY486_1000170,TvY486_10_PTU01
TvY486_1000180,TvY486_10_PTU01
TvY486_1000190,TvY486_10_PTU01
TvY486_1000200,TvY486_10_PTU01
TvY486_1000210,TvY486_10_PTU01
TvY486_1000220,TvY486_10_PTU01
TvY486_1000230,TvY486_10_PTU01
TvY486_1000240,TvY486_10_PTU01
TvY486_1000250,TvY486_10_PTU01
TvY486_1000260,TvY486_10_PTU01
TvY486_1000270,TvY486_10_PTU01
TvY486_1000280,TvY486_10_PTU01
TvY486_1000290,TvY486_10_PTU01
TvY486_1000300,TvY486_10_PTU01
TvY486_1000310,TvY486_10_PTU01
TvY486_1000320,TvY486_10_PTU01
TvY486_1000330,TvY486_10_PTU01
TvY486_1000340,TvY486_10_PTU01
TvY486_1000350,TvY486_10_PTU01
TvY486_1000360,TvY486_10_PTU01
TvY486_1000370,TvY486_10_PTU01
TvY486_1000380,TvY486_10_PTU01
TvY486_1000390,TvY486_10_PTU01
TvY486_1000400,TvY486_10_PTU01
TvY486_1000410,TvY486_10_PTU01
TvY486_1000420,TvY486_10_PTU01
TvY486_1000430,TvY486_10_PTU01
TvY486_1000440,TvY486_10_PTU01
TvY486_1000450,TvY486_10_PTU01
TvY486_1000460,TvY486_10_PTU01
TvY486_1000470,TvY486_10_PTU01
TvY486_1000480,TvY486_10_PTU01
TvY486_10%3AncRNA%3Arfamscan%3A84365-84485,TvY486_10_PTU02
TvY486_10%3AncRNA%3Arfamscan%3A84384-84474,TvY486_10_PTU02
TvY486_10%3AncRNA%3Arfamscan%3A84385-84479,TvY486_10_PTU02
TvY486_10%3AncRNA%3Arfamscan%3A84387-84483,TvY486_10_PTU02
TvY486_10%3AncRNA%3Arfamscan%3A84390-84469,TvY486_10_PTU02
TvY486_10%3AncRNA%3Arfamscan%3A84391-84466,TvY486_10_PTU02
TvY486_10%3AncRNA%3Arfamscan%3A84391-84478,TvY486_10_PTU03
TvY486_10%3AncRNA%3Arfamscan%3A84392-84466,TvY486_10_PTU03
TvY486_10%3AncRNA%3Arfamscan%3A84392-84467,TvY486_10_PTU03
TvY486_10%3AncRNA%3Arfamscan%3A84397-84461,TvY486_10_PTU03
TvY486_1000490,TvY486_10_PTU04
TvY486_1000500,TvY486_10_PTU04
TvY486_1000510,TvY486_10_PTU04
TvY486_1000520,TvY486_10_PTU04
TvY486_1000530,TvY486_10_PTU04
TvY486_1000540,TvY486_10_PTU04
TvY486_1000550,TvY486_10_PTU04
TvY486_1000560,TvY486_10_PTU04
TvY486_1000570,TvY486_10_PTU04
TvY486_1000580,TvY486_10_PTU04
TvY486_1000590,TvY486_10_PTU04
TvY486_1000600,TvY486_10_PTU04
TvY486_1000610,TvY486_10_PTU04
TvY486_1000620,TvY486_10_PTU04
TvY486_1000630,TvY486_10_PTU04
TvY486_1000640,TvY486_10_PTU04
TvY486_1000650,TvY486_10_PTU04
TvY486_1000660,TvY486_10_PTU04
TvY486_1000670,TvY486_10_PTU04
TvY486_1000680,TvY486_10_PTU04
TvY486_1000690,TvY486_10_PTU04
TvY486_1000700,TvY486_10_PTU04
TvY486_1000710,TvY486_10_PTU04
TvY486_10%3AncRNA%3Arfamscan%3A150828-150997,TvY486_10_PTU04
TvY486_1000720,TvY486_10_PTU04
TvY486_1000730,TvY486_10_PTU04
TvY486_1000740,TvY486_10_PTU04
TvY486_1000750,TvY486_10_PTU04
TvY486_1000760,TvY486_10_PTU04
TvY486_1000770,TvY486_10_PTU04
TvY486_1000780,TvY486_10_PTU04
TvY486_1000790,TvY486_10_PTU05
TvY486_1000800,TvY486_10_PTU05
TvY486_1000810,TvY486_10_PTU05
TvY486_1000820,TvY486_10_PTU05
TvY486_1000830,TvY486_10_PTU05
TvY486_1000840,TvY486_10_PTU05
TvY486_1000850,TvY486_10_PTU05
TvY486_1000860,TvY486_10_PTU05
TvY486_1000870,TvY486_10_PTU05
TvY486_1000880,TvY486_10_PTU05
TvY486_1000890,TvY486_10_PTU05
TvY486_1000900,TvY486_10_PTU05
TvY486_1000910,TvY486_10_PTU05
TvY486_1000920,TvY486_10_PTU05
TvY486_1000930,TvY486_10_PTU05
TvY486_1000940,TvY486_10_PTU05
TvY486_1000950,TvY486_10_PTU05
TvY486_1000960,TvY486_10_PTU05
TvY486_1000970,TvY486_10_PTU06
TvY486_1000980,TvY486_10_PTU06
TvY486_1000990,TvY486_10_PTU06
TvY486_1001000,TvY486_10_PTU06
TvY486_1001010,TvY486_10_PTU06
TvY486_1001020,TvY486_10_PTU06
TvY486_1001030,TvY486_10_PTU06
TvY486_1001040,TvY486_10_PTU06
TvY486_1001050,TvY486_10_PTU06
TvY486_1001060,TvY486_10_PTU06
TvY486_1001070,TvY486_10_PTU06
TvY486_1001080,TvY486_10_PTU06
TvY486_1001090,TvY486_10_PTU06
TvY486_1001100,TvY486_10_PTU06
TvY486_1001110,TvY486_10_PTU06
TvY486_1001120,TvY486_10_PTU06
TvY486_1001130,TvY486_10_PTU06
TvY486_1001140,TvY486_10_PTU06
TvY486_1001150,TvY486_10_PTU06
TvY486_1001160,TvY486_10_PTU06
TvY486_1001170,TvY486_10_PTU06
TvY486_1001180,TvY486_10_PTU06
TvY486_10%3AncRNA%3Arfamscan%3A294866-295026,TvY486_10_PTU06
TvY486_1001190,TvY486_10_PTU06
TvY486_1001200,TvY486_10_PTU06
TvY486_1001210,TvY486_10_PTU06
TvY486_1001220,TvY486_10_PTU06
TvY486_1001230,TvY486_10_PTU06
TvY486_1001240,TvY486_10_PTU06
TvY486_1001250,TvY486_10_PTU06
TvY486_1001260,TvY486_10_PTU06
TvY486_1001270,TvY486_10_PTU06
TvY486_1001280,TvY486_10_PTU06
TvY486_1001290,TvY486_10_PTU06
TvY486_1001300,TvY486_10_PTU06
TvY486_1001310,TvY486_10_PTU06
TvY486_1001320,TvY486_10_PTU06
TvY486_1001330,TvY486_10_PTU06
TvY486_1001340,TvY486_10_PTU06
TvY486_1001350,TvY486_10_PTU06
TvY486_1001360,TvY486_10_PTU06
TvY486_1001370,TvY486_10_PTU06
TvY486_1001380,TvY486_10_PTU06
TvY486_1001390,TvY486_10_PTU06
TvY486_1001400,TvY486_10_PTU06
TvY486_1001410,TvY486_10_PTU06
TvY486_1001420,TvY486_10_PTU06
TvY486_1001430,TvY486_10_PTU06
TvY486_1001440,TvY486_10_PTU06
TvY486_1001450,TvY486_10_PTU06
TvY486_1001460,TvY486_10_PTU06
TvY486_1001470,TvY486_10_PTU06
TvY486_1001480,TvY486_10_PTU06
TvY486_1001490,TvY486_10_PTU06
TvY486_1001495,TvY486_10_PTU06
TvY486_1001500,TvY486_10_PTU06
TvY486_1001510,TvY486_10_PTU06
TvY486_1001520,TvY486_10_PTU06
TvY486_1001530,TvY486_10_PTU06
TvY486_1001540,TvY486_10_PTU06
TvY486_1001550,TvY486_10_PTU06
TvY486_1001560,TvY486_10_PTU06
TvY486_1001570,TvY486_10_PTU06
TvY486_1001580,TvY486_10_PTU06
TvY486_1001590,TvY486_10_PTU06
TvY486_1001600,TvY486_10_PTU06
TvY486_1001610,TvY486_10_PTU06
TvY486_1001620,TvY486_10_PTU06
TvY486_1001630,TvY486_10_PTU06
TvY486_1001640,TvY486_10_PTU06
TvY486_1001650,TvY486_10_PTU06
TvY486_1001660,TvY486_10_PTU06
TvY486_1001670,TvY486_10_PTU06
TvY486_1001680,TvY486_10_PTU07
TvY486_1001690,TvY486_10_PTU07
TvY486_1001700,TvY486_10_PTU07
TvY486_1001710,TvY486_10_PTU07
TvY486_1001720,TvY486_10_PTU07
TvY486_1001730,TvY486_10_PTU07
TvY486_1001740,TvY486_10_PTU07
TvY486_1001750,TvY486_10_PTU07
TvY486_1001760,TvY486_10_PTU08
TvY486_1001770,TvY486_10_PTU08
TvY486_1001780,TvY486_10_PTU09
TvY486_1001790,TvY486_10_PTU09
TvY486_1001800,TvY486_10_PTU09
TvY486_1001810,TvY486_10_PTU09
TvY486_1001820,TvY486_10_PTU09
TvY486_1001830,TvY486_10_PTU10
TvY486_1001840,TvY486_10_PTU10
TvY486_1001850,TvY486_10_PTU10
TvY486_1001860,TvY486_10_PTU10
TvY486_1001870,TvY486_10_PTU10
TvY486_1001880,TvY486_10_PTU10
TvY486_1001890,TvY486_10_PTU10
TvY486_1001900,TvY486_10_PTU10
TvY486_1001910,TvY486_10_PTU10
TvY486_1001920,TvY486_10_PTU10
TvY486_1001930,TvY486_10_PTU10
TvY486_1001940,TvY486_10_PTU10
TvY486_1001950,TvY486_10_PTU10
TvY486_1001960,TvY486_10_PTU10
TvY486_1001970,TvY486_10_PTU10
TvY486_1001980,TvY486_10_PTU10
TvY486_1001990,TvY486_10_PTU10
TvY486_1002000,TvY486_10_PTU10
TvY486_1002010,TvY486_10_PTU10
TvY486_1002020,TvY486_10_PTU10
TvY486_1002030,TvY486_10_PTU10
TvY486_1002040,TvY486_10_PTU10
TvY486_1002050,TvY486_10_PTU10
TvY486_1002060,TvY486_10_PTU10
TvY486_1002070,TvY486_10_PTU10
TvY486_1002080,TvY486_10_PTU10
TvY486_1002090,TvY486_10_PTU10
TvY486_1002100,TvY486_10_PTU10
TvY486_1002110,TvY486_10_PTU10
TvY486_10%3AncRNA%3Arfamscan%3A524087-524277,TvY486_10_PTU10
TvY486_1002120,TvY486_10_PTU10
TvY486_10%3AncRNA%3Arfamscan%3A524331-524527,TvY486_10_PTU11
TvY486_10%3AncRNA%3Arfamscan%3A524362-524511,TvY486_10_PTU11
TvY486_10%3AncRNA%3Arfamscan%3A524364-524492,TvY486_10_PTU12
TvY486_1002130,TvY486_10_PTU12
TvY486_1002140,TvY486_10_PTU12
TvY486_1002150,TvY486_10_PTU12
TvY486_1002160,TvY486_10_PTU12
TvY486_1002170,TvY486_10_PTU12
TvY486_1002180,TvY486_10_PTU12
TvY486_1002190,TvY486_10_PTU12
TvY486_1002200,TvY486_10_PTU12
TvY486_1002210,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A535732-535848,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A535741-535848,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A536265-536357,TvY486_10_PTU12
TvY486_1002220,TvY486_10_PTU12
TvY486_1002230,TvY486_10_PTU12
TvY486_1002240,TvY486_10_PTU12
TvY486_1002250,TvY486_10_PTU12
TvY486_1002260,TvY486_10_PTU12
TvY486_1002270,TvY486_10_PTU12
TvY486_1002280,TvY486_10_PTU12
TvY486_1002290,TvY486_10_PTU12
TvY486_1002300,TvY486_10_PTU12
TvY486_1002310,TvY486_10_PTU12
TvY486_1002320,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A569532-569803,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A569567-569768,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A569609-569726,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A569611-569720,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A569614-569714,TvY486_10_PTU12
TvY486_10%3AncRNA%3Arfamscan%3A569615-569724,TvY486_10_PTU13
TvY486_10%3AncRNA%3Arfamscan%3A569619-569713,TvY486_10_PTU13
TvY486_10%3AncRNA%3Arfamscan%3A569621-569721,TvY486_10_PTU13
TvY486_10%3AncRNA%3Arfamscan%3A569622-569716,TvY486_10_PTU14
TvY486_1002330,TvY486_10_PTU14
TvY486_1002340,TvY486_10_PTU14
TvY486_1002350,TvY486_10_PTU14
TvY486_1002360,TvY486_10_PTU14
TvY486_1002370,TvY486_10_PTU14
TvY486_1002380,TvY486_10_PTU14
TvY486_1002390,TvY486_10_PTU14
TvY486_1002400,TvY486_10_PTU14
TvY486_1002410,TvY486_10_PTU14
TvY486_1002420,TvY486_10_PTU14
TvY486_1002430,TvY486_10_PTU14
TvY486_1002440,TvY486_10_PTU14
TvY486_1002450,TvY486_10_PTU15
TvY486_1002460,TvY486_10_PTU15
TvY486_1002470,TvY486_10_PTU15
TvY486_1002480,TvY486_10_PTU15
TvY486_1002490,TvY486_10_PTU15
TvY486_1002500,TvY486_10_PTU15
TvY486_1002510,TvY486_10_PTU15
TvY486_1002520,TvY486_10_PTU15
TvY486_1002530,TvY486_10_PTU15
TvY486_1002540,TvY486_10_PTU15
TvY486_1002550,TvY486_10_PTU15
TvY486_1002560,TvY486_10_PTU15
TvY486_1002570,TvY486_10_PTU15
TvY486_1002580,TvY486_10_PTU15
TvY486_1002590,TvY486_10_PTU15
TvY486_1002600,TvY486_10_PTU15
