gene_id,ptu
LTRL590_000005000,LTRL590_SCAF000002_PTU01
LTRL590_000005100,LTRL590_SCAF000002_PTU01
LTRL590_000005200,LTRL590_SCAF000002_PTU01
LTRL590_000005300,LTRL590_SCAF000002_PTU01
LTRL590_000005400,LTRL590_SCAF000003_PTU01
LTRL590_000005500,LTRL590_SCAF000005_PTU01
LTRL590_000005600,LTRL590_SCAF000005_PTU01
LTRL590_000005700,LTRL590_SCAF000007_PTU01
LTRL590_000005800,LTRL590_SCAF000008_PTU01
LTRL590_000005900,LTRL590_SCAF000008_PTU01
LTRL590_000006000,LTRL590_SCAF000009_PTU01
LTRL590_000006100,LTRL590_SCAF000012_PTU01
LTRL590_000006200,LTRL590_SCAF000016_PTU01
LTRL590_000006300,LTRL590_SCAF000017_PTU01
LTRL590_000006400,LTRL590_SCAF000019_PTU01
LTRL590_000006500,LTRL590_SCAF000021_PTU01
LTRL590_000006600,LTRL590_SCAF000021_PTU01
LTRL590_000006700,LTRL590_SCAF000021_PTU01
LTRL590_000006800,LTRL590_SCAF000021_PTU01
LTRL590_000006900,LTRL590_SCAF000022_PTU01
LTRL590_000007000,LTRL590_SCAF000022_PTU01
LTRL590_000007100,LTRL590_SCAF000022_PTU01
LTRL590_000007200,LTRL590_SCAF000022_PTU01
LTRL590_000007300,LTRL590_SCAF000022_PTU01
LTRL590_000007400,LTRL590_SCAF000022_PTU01
LTRL590_000007500,LTRL590_SCAF000022_PTU01
LTRL590_000007600,LTRL590_SCAF000022_PTU01
LTRL590_000007700,LTRL590_SCAF000022_PTU01
LTRL590_000007800,LTRL590_SCAF000022_PTU01
LTRL590_000007900,LTRL590_SCAF000022_PTU01
LTRL590_000008000,LTRL590_SCAF000022_PTU01
LTRL590_000008100,LTRL590_SCAF000022_PTU01
LTRL590_000008200,LTRL590_SCAF000022_PTU01
LTRL590_000008300,LTRL590_SCAF000025_PTU01
LTRL590_000008400,LTRL590_SCAF000026_PTU01
LTRL590_000008500,LTRL590_SCAF000031_PTU01
LTRL590_000008600,LTRL590_SCAF000032_PTU01
LTRL590_000008700,LTRL590_SCAF000032_PTU01
LTRL590_000008800,LTRL590_SCAF000033_PTU01
LTRL590_000008900,LTRL590_SCAF000033_PTU01
LTRL590_000009000,LTRL590_SCAF000036_PTU01
LTRL590_000009100,LTRL590_SCAF000036_PTU01
LTRL590_000009200,LTRL590_SCAF000036_PTU01
LTRL590_000009300,LTRL590_SCAF000036_PTU01
LTRL590_000009400,LTRL590_SCAF000036_PTU01
