gene_id,ptu
LMARLEM2494_000005000,LMARLEM2494_SCAF000001_PTU01
LMARLEM2494_000005100,LMARLEM2494_SCAF000005_PTU01
LMARLEM2494_000005200,LMARLEM2494_SCAF000006_PTU01
LMARLEM2494_000005300,LMARLEM2494_SCAF000008_PTU01
LMARLEM2494_000005400,LMARLEM2494_SCAF000013_PTU01
LMARLEM2494_000005500,LMARLEM2494_SCAF000015_PTU01
LMARLEM2494_000005600,LMARLEM2494_SCAF000016_PTU01
LMARLEM2494_000005700,LMARLEM2494_SCAF000016_PTU01
LMARLEM2494_000005800,LMARLEM2494_SCAF000016_PTU01
LMARLEM2494_000005900,LMARLEM2494_SCAF000018_PTU01
LMARLEM2494_000006000,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006100,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006200,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006300,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006400,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006500,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006600,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006700,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006800,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000006900,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000007000,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000007100,LMARLEM2494_SCAF000019_PTU01
LMARLEM2494_000007200,LMARLEM2494_SCAF000020_PTU01
LMARLEM2494_000007300,LMARLEM2494_SCAF000020_PTU01
LMARLEM2494_000007400,LMARLEM2494_SCAF000021_PTU01
LMARLEM2494_000007500,LMARLEM2494_SCAF000021_PTU01
LMARLEM2494_000007600,LMARLEM2494_SCAF000022_PTU01
LMARLEM2494_000007700,LMARLEM2494_SCAF000022_PTU01
LMARLEM2494_000007800,LMARLEM2494_SCAF000022_PTU01
LMARLEM2494_000007900,LMARLEM2494_SCAF000023_PTU01
LMARLEM2494_000008000,LMARLEM2494_SCAF000024_PTU01
LMARLEM2494_000008100,LMARLEM2494_SCAF000025_PTU01
LMARLEM2494_000008200,LMARLEM2494_SCAF000026_PTU01
LMARLEM2494_000008300,LMARLEM2494_SCAF000027_PTU01
LMARLEM2494_000008400,LMARLEM2494_SCAF000027_PTU01
LMARLEM2494_000008500,LMARLEM2494_SCAF000027_PTU01
LMARLEM2494_000008600,LMARLEM2494_SCAF000029_PTU01
