gene_id,ptu
TcCLB.397923.10,Tcruzi_56_PTU01
TcCLB.398009.10,Tcruzi_8859_PTU01
TcCLB.398009.20,Tcruzi_8859_PTU01
TcCLB.398061.10,Tcruzi_8869_PTU01
TcCLB.398061.20,Tcruzi_8869_PTU01
TcCLB.398265.9,Tcruzi_81_PTU01
TcCLB.398551.10,Tcruzi_8973_PTU01
TcCLB.398551.20,Tcruzi_8973_PTU01
TcCLB.398551.30,Tcruzi_8973_PTU01
TcCLB.398727.10,Tcruzi_9013_PTU01
TcCLB.398727.20,Tcruzi_9013_PTU01
TcCLB.398727.30,Tcruzi_9013_PTU01
TcCLB.398727.40,Tcruzi_9013_PTU01
TcCLB.399173.10,Tcruzi_9108_PTU01
TcCLB.399201.10,Tcruzi_9114_PTU01
TcCLB.399201.20,Tcruzi_9114_PTU01
TcCLB.399201.30,Tcruzi_9114_PTU01
TcCLB.399205.10,Tcruzi_9115_PTU01
TcCLB.399205.20,Tcruzi_9115_PTU01
TcCLB.399245.9,Tcruzi_149_PTU01
TcCLB.399373.9,Tcruzi_9155_PTU01
TcCLB.399373.20,Tcruzi_9155_PTU01
TcCLB.399389.10,Tcruzi_9158_PTU01
TcCLB.399407.10,Tcruzi_9162_PTU01
TcCLB.399419.10,Tcruzi_9165_PTU01
TcCLB.399579.10,Tcruzi_9203_PTU01
TcCLB.399685.10,Tcruzi_9229_PTU01
TcCLB.399913.10,Tcruzi_9277_PTU01
TcCLB.399913.20,Tcruzi_9277_PTU01
TcCLB.399913.30,Tcruzi_9277_PTU01
TcCLB.399913.40,Tcruzi_9277_PTU01
TcCLB.399913.50,Tcruzi_9277_PTU01
TcCLB.399957.10,Tcruzi_181_PTU01
TcCLB.399957.20,Tcruzi_181_PTU01
TcCLB.399957.30,Tcruzi_181_PTU01
TcCLB.399957.40,Tcruzi_181_PTU01
TcCLB.399957.50,Tcruzi_181_PTU01
TcCLB.399973.10,Tcruzi_9289_PTU01
TcCLB.399973.20,Tcruzi_9289_PTU01
TcCLB.400681.10,Tcruzi_9441_PTU01
TcCLB.400739.10,Tcruzi_238_PTU01
TcCLB.401131.10,Tcruzi_264_PTU01
TcCLB.401131.20,Tcruzi_264_PTU01
TcCLB.401183.10,Tcruzi_9549_PTU01
TcCLB.401307.10,Tcruzi_9575_PTU01
TcCLB.401307.20,Tcruzi_9575_PTU01
TcCLB.401307.30,Tcruzi_9575_PTU01
TcCLB.401407.10,Tcruzi_9599_PTU01
TcCLB.401407.20,Tcruzi_9599_PTU01
TcCLB.401407.30,Tcruzi_9599_PTU01
TcCLB.401407.40,Tcruzi_9599_PTU01
TcCLB.401683.10,Tcruzi_9657_PTU01
TcCLB.401683.20,Tcruzi_9657_PTU01
TcCLB.401687.10,Tcruzi_9658_PTU01
TcCLB.401961.10,Tcruzi_315_PTU01
TcCLB.402025.10,Tcruzi_9736_PTU01
TcCLB.402025.20,Tcruzi_9736_PTU01
TcCLB.402255.10,Tcruzi_330_PTU01
TcCLB.402361.10,Tcruzi_9812_PTU01
TcCLB.402361.20,Tcruzi_9812_PTU01
TcCLB.402361.30,Tcruzi_9812_PTU01
TcCLB.402361.40,Tcruzi_9812_PTU01
TcCLB.402361.50,Tcruzi_9812_PTU01
TcCLB.402361.60,Tcruzi_9812_PTU01
TcCLB.402361.70,Tcruzi_9812_PTU01
TcCLB.402537.10,Tcruzi_9852_PTU01
TcCLB.402537.20,Tcruzi_9852_PTU01
TcCLB.402537.30,Tcruzi_9852_PTU01
TcCLB.402537.40,Tcruzi_9852_PTU01
TcCLB.402863.9,Tcruzi_9921_PTU01
TcCLB.402911.10,Tcruzi_9932_PTU01
TcCLB.402911.20,Tcruzi_9932_PTU01
TcCLB.402919.10,Tcruzi_368_PTU01
TcCLB.403005.10,Tcruzi_9954_PTU01
TcCLB.403031.10,Tcruzi_372_PTU01
TcCLB.403085.10,Tcruzi_9972_PTU01
TcCLB.403481.10,Tcruzi_10059_PTU01
TcCLB.403669.10,Tcruzi_10100_PTU01
TcCLB.403835.10,Tcruzi_10138_PTU01
TcCLB.403835.20,Tcruzi_10138_PTU01
TcCLB.403869.10,Tcruzi_10145_PTU01
TcCLB.403903.10,Tcruzi_10152_PTU01
TcCLB.403903.20,Tcruzi_10152_PTU01
TcCLB.403903.30,Tcruzi_10152_PTU01
TcCLB.403903.40,Tcruzi_10152_PTU01
TcCLB.403903.50,Tcruzi_10152_PTU01
TcCLB.403903.60,Tcruzi_10152_PTU01
TcCLB.403903.70,Tcruzi_10152_PTU01
TcCLB.403903.80,Tcruzi_10152_PTU01
TcCLB.404159.10,Tcruzi_10211_PTU01
TcCLB.404253.10,Tcruzi_439_PTU01
TcCLB.404259.10,Tcruzi_10233_PTU01
TcCLB.404455.10,Tcruzi_448_PTU01
TcCLB.404683.10,Tcruzi_10328_PTU01
TcCLB.405025.10,Tcruzi_481_PTU01
TcCLB.405131.10,Tcruzi_10429_PTU01
TcCLB.405131.20,Tcruzi_10429_PTU01
TcCLB.405131.30,Tcruzi_10429_PTU01
TcCLB.405131.40,Tcruzi_10429_PTU01
TcCLB.405131.50,Tcruzi_10429_PTU01
TcCLB.405131.60,Tcruzi_10429_PTU01
TcCLB.405147.10,Tcruzi_10433_PTU01
TcCLB.405147.20,Tcruzi_10433_PTU01
TcCLB.405147.30,Tcruzi_10433_PTU01
TcCLB.405147.40,Tcruzi_10433_PTU01
TcCLB.405147.50,Tcruzi_10433_PTU01
TcCLB.405315.10,Tcruzi_10468_PTU01
TcCLB.405475.10,Tcruzi_10506_PTU01
TcCLB.405475.20,Tcruzi_10506_PTU01
TcCLB.405567.10,Tcruzi_10528_PTU01
TcCLB.405567.20,Tcruzi_10528_PTU01
TcCLB.405567.30,Tcruzi_10528_PTU01
TcCLB.406115.10,Tcruzi_10656_PTU01
TcCLB.406215.10,Tcruzi_526_PTU01
TcCLB.406725.10,Tcruzi_551_PTU01
TcCLB.406929.10,Tcruzi_565_PTU01
TcCLB.406947.10,Tcruzi_10841_PTU01
TcCLB.406947.20,Tcruzi_10841_PTU01
TcCLB.406951.10,Tcruzi_10842_PTU01
TcCLB.407667.10,Tcruzi_11000_PTU01
TcCLB.407667.20,Tcruzi_11000_PTU01
TcCLB.407667.30,Tcruzi_11000_PTU01
TcCLB.407789.10,Tcruzi_11029_PTU01
TcCLB.407789.20,Tcruzi_11029_PTU01
TcCLB.407789.30,Tcruzi_11029_PTU01
TcCLB.407893.9,Tcruzi_621_PTU01
TcCLB.407893.18,Tcruzi_621_PTU01
TcCLB.408445.10,Tcruzi_655_PTU01
TcCLB.408485.20,Tcruzi_11180_PTU01
TcCLB.408847.10,Tcruzi_678_PTU01
TcCLB.408847.20,Tcruzi_678_PTU01
TcCLB.408847.30,Tcruzi_678_PTU01
TcCLB.408847.40,Tcruzi_678_PTU01
TcCLB.409259.10,Tcruzi_11351_PTU01
TcCLB.409259.20,Tcruzi_11351_PTU01
TcCLB.409479.10,Tcruzi_11397_PTU01
TcCLB.409479.20,Tcruzi_11397_PTU01
TcCLB.409625.10,Tcruzi_11431_PTU01
TcCLB.409981.10,Tcruzi_11509_PTU01
TcCLB.409981.20,Tcruzi_11509_PTU01
TcCLB.409981.30,Tcruzi_11509_PTU01
TcCLB.409981.40,Tcruzi_11509_PTU01
TcCLB.410093.10,Tcruzi_11534_PTU01
TcCLB.410115.10,Tcruzi_11538_PTU01
TcCLB.410115.20,Tcruzi_11538_PTU01
TcCLB.410115.30,Tcruzi_11538_PTU01
TcCLB.410241.10,Tcruzi_763_PTU01
TcCLB.410241.20,Tcruzi_763_PTU01
TcCLB.410269.10,Tcruzi_767_PTU01
TcCLB.410275.9,Tcruzi_768_PTU01
TcCLB.410275.18,Tcruzi_768_PTU01
TcCLB.410339.10,Tcruzi_11586_PTU01
TcCLB.410357.10,Tcruzi_775_PTU01
TcCLB.410357.20,Tcruzi_775_PTU01
TcCLB.410357.30,Tcruzi_775_PTU01
TcCLB.411107.10,Tcruzi_11757_PTU01
TcCLB.411107.20,Tcruzi_11757_PTU01
TcCLB.411149.9,Tcruzi_11767_PTU01
TcCLB.411149.18,Tcruzi_11767_PTU01
TcCLB.411169.10,Tcruzi_11772_PTU01
TcCLB.411169.20,Tcruzi_11772_PTU01
TcCLB.411173.10,Tcruzi_11773_PTU01
TcCLB.411173.20,Tcruzi_11773_PTU01
TcCLB.411235.9,Tcruzi_11788_PTU01
TcCLB.411383.10,Tcruzi_828_PTU01
TcCLB.411483.10,Tcruzi_11843_PTU01
TcCLB.411483.20,Tcruzi_11843_PTU01
TcCLB.411483.30,Tcruzi_11843_PTU01
TcCLB.411489.10,Tcruzi_833_PTU01
TcCLB.411489.20,Tcruzi_833_PTU01
TcCLB.411489.30,Tcruzi_833_PTU01
TcCLB.411489.40,Tcruzi_833_PTU01
TcCLB.411489.50,Tcruzi_833_PTU01
TcCLB.411489.60,Tcruzi_833_PTU01
TcCLB.411489.70,Tcruzi_833_PTU01
TcCLB.411527.10,Tcruzi_836_PTU01
TcCLB.411527.20,Tcruzi_836_PTU01
