gene_id,med_1,med_3,med_5,med_9,med_15
TcCLB.506343.51,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.506343.41,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.506343.30,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.506343.20,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.506343.10,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507797.18,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507797.9,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.509761.20,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.509761.10,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.100,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.90,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.80,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.60,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.50,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.40,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.30,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
