gene_id,ptu
LinJ.01.0010,LinJ.01_PTU01
LinJ.01.0020,LinJ.01_PTU01
LinJ.01.0030,LinJ.01_PTU01
LinJ.01.0040,LinJ.01_PTU01
LinJ.01.0050,LinJ.01_PTU01
LinJ.01.0060,LinJ.01_PTU01
LinJ.01.0070,LinJ.01_PTU01
LinJ.01.0080,LinJ.01_PTU01
LinJ.01.0090,LinJ.01_PTU01
LinJ.01.0100,LinJ.01_PTU01
LinJ.01.0110,LinJ.01_PTU01
LinJ.01.0120,LinJ.01_PTU01
LinJ.01.0130,LinJ.01_PTU01
LinJ.01.0140,LinJ.01_PTU01
LinJ.01.0150,LinJ.01_PTU01
LinJ.01.0160,LinJ.01_PTU01
LinJ.01.0170,LinJ.01_PTU01
LinJ.01.0180,LinJ.01_PTU01
LinJ.01.0190,LinJ.01_PTU01
LinJ.01.0200,LinJ.01_PTU01
LinJ.01.0210,LinJ.01_PTU01
LinJ.01.0220,LinJ.01_PTU01
LinJ.01.0230,LinJ.01_PTU01
LinJ.01.0240,LinJ.01_PTU01
LinJ.01.0250,LinJ.01_PTU01
LinJ.01.0260,LinJ.01_PTU01
LinJ.01.0270,LinJ.01_PTU01
LinJ.01.0280,LinJ.01_PTU01
LinJ.01.0290,LinJ.01_PTU01
LinJ.01.0300,LinJ.01_PTU01
LinJ.01.0310,LinJ.01_PTU01
LinJ.01.0320,LinJ.01_PTU01
LinJ.01.0330,LinJ.01_PTU02
LinJ.01.0340,LinJ.01_PTU02
LinJ.01.0350,LinJ.01_PTU02
LinJ.01.0360,LinJ.01_PTU02
LinJ.01.0370,LinJ.01_PTU02
LinJ.01.0380,LinJ.01_PTU02
LinJ.01.0390,LinJ.01_PTU02
LinJ.01.0400,LinJ.01_PTU02
LinJ.01.0410,LinJ.01_PTU02
LinJ.01.0420,LinJ.01_PTU02
LinJ.01.0430,LinJ.01_PTU02
LinJ.01.0440,LinJ.01_PTU02
LinJ.01.0450,LinJ.01_PTU02
LinJ.01.0460,LinJ.01_PTU02
LinJ.01.0470,LinJ.01_PTU02
LinJ.01.0480,LinJ.01_PTU02
LinJ.01.0490,LinJ.01_PTU02
LinJ.01.0500,LinJ.01_PTU02
LinJ.01.0510,LinJ.01_PTU02
LinJ.01.0520,LinJ.01_PTU02
LinJ.01.0530,LinJ.01_PTU02
LinJ.01.0540,LinJ.01_PTU02
LinJ.01.0550,LinJ.01_PTU02
LinJ.01.0560,LinJ.01_PTU02
LinJ.01.0570,LinJ.01_PTU02
LinJ.01.0580,LinJ.01_PTU02
LinJ.01.0590,LinJ.01_PTU02
LinJ.01.0600,LinJ.01_PTU02
LinJ.01.0610,LinJ.01_PTU02
LinJ.01.0620,LinJ.01_PTU02
LinJ.01.0630,LinJ.01_PTU02
LinJ.01.0640,LinJ.01_PTU02
LinJ.01.0650,LinJ.01_PTU02
LinJ.01.0660,LinJ.01_PTU02
LinJ.01.0670,LinJ.01_PTU02
LinJ.01.0680,LinJ.01_PTU02
LinJ.01.0690,LinJ.01_PTU02
LinJ.01.0700,LinJ.01_PTU02
LinJ.01.0710,LinJ.01_PTU02
LinJ.01.0720,LinJ.01_PTU02
LinJ.01.0730,LinJ.01_PTU02
LinJ.01.0740,LinJ.01_PTU02
LinJ.01.0750,LinJ.01_PTU02
LinJ.01.0760,LinJ.01_PTU02
LinJ.01.0770,LinJ.01_PTU02
LinJ.01.0780,LinJ.01_PTU02
LinJ.01.0790,LinJ.01_PTU02
LinJ.01.0800,LinJ.01_PTU02
LinJ.01.0810,LinJ.01_PTU02
LinJ.01.0820,LinJ.01_PTU02
LinJ.01.0830,LinJ.01_PTU02
LinJ.01.0840,LinJ.01_PTU02
LinJ.01.0850,LinJ.01_PTU02
LinJ.02.0010,LinJ.02_PTU01
LinJ.02.0020,LinJ.02_PTU01
LinJ.02.0030,LinJ.02_PTU01
LinJ.02.0040,LinJ.02_PTU01
LinJ.02.0050,LinJ.02_PTU01
LinJ.02.0060,LinJ.02_PTU01
LinJ.02.0070,LinJ.02_PTU01
LinJ.02.0080,LinJ.02_PTU01
LinJ.02.0090,LinJ.02_PTU01
LinJ.02.0100,LinJ.02_PTU01
LinJ.02.0110,LinJ.02_PTU01
LinJ.02.0120,LinJ.02_PTU01
LinJ.02.0130,LinJ.02_PTU01
LinJ.02.0140,LinJ.02_PTU01
LinJ.02.0150,LinJ.02_PTU01
LinJ.02.0160,LinJ.02_PTU01
LinJ.02.0170,LinJ.02_PTU01
LinJ.02.0180,LinJ.02_PTU01
LinJ.02.0190,LinJ.02_PTU01
LinJ.02.0200,LinJ.02_PTU01
LinJ.02.0210,LinJ.02_PTU01
LinJ.02.0220,LinJ.02_PTU01
LinJ.02.0230,LinJ.02_PTU01
LinJ.02.0240,LinJ.02_PTU01
LinJ.02.0250,LinJ.02_PTU01
LinJ.02.0260,LinJ.02_PTU01
LinJ.02.0270,LinJ.02_PTU01
LinJ.02.0280,LinJ.02_PTU01
LinJ.02.0290,LinJ.02_PTU01
LinJ.02.0300,LinJ.02_PTU01
LinJ.02.0310,LinJ.02_PTU01
LinJ.02.0320,LinJ.02_PTU01
LinJ.02.0330,LinJ.02_PTU01
LinJ.02.0340,LinJ.02_PTU01
LinJ.02.0350,LinJ.02_PTU01
LinJ.02.0360,LinJ.02_PTU01
LinJ.02.0370,LinJ.02_PTU01
LinJ.02.0380,LinJ.02_PTU01
LinJ.02.0390,LinJ.02_PTU01
LinJ.02.0400,LinJ.02_PTU01
LinJ.02.0410,LinJ.02_PTU01
LinJ.02.0420,LinJ.02_PTU01
LinJ.02.0430,LinJ.02_PTU01
LinJ.02.0440,LinJ.02_PTU01
LinJ.02.0450,LinJ.02_PTU01
LinJ.02.0460,LinJ.02_PTU01
LinJ.02.0470,LinJ.02_PTU01
LinJ.02.0480,LinJ.02_PTU01
LinJ.02.0490,LinJ.02_PTU01
LinJ.02.0500,LinJ.02_PTU01
LinJ.02.0510,LinJ.02_PTU01
LinJ.02.0520,LinJ.02_PTU01
LinJ.02.0530,LinJ.02_PTU01
LinJ.02.0540,LinJ.02_PTU01
LinJ.02.0550,LinJ.02_PTU02
LinJ.02.0560,LinJ.02_PTU02
LinJ.02.0570,LinJ.02_PTU02
LinJ.02.0580,LinJ.02_PTU02
LinJ.02.0590,LinJ.02_PTU02
LinJ.02.0600,LinJ.02_PTU02
